Keyword,Link,Positive,Negative,Neutral
Dominique Badji FC Dallas,"0    /Players/270584/Show/Dominique-Badji
1    /Players/270584/Show/Dominique-Badji
2    /Players/270584/Show/Dominique-Badji
3    /Players/270584/Show/Dominique-Badji
4    /Players/270584/Show/Dominique-Badji
5    /Players/270584/Show/Dominique-Badji
6    /Players/270584/Show/Dominique-Badji
Name: Link, dtype: object",0.0,71.42857142857143,28.57142857142857
Mile Jedinak Aston Villa,"0    /Players/13727/Show/Mile-Jedinak
1    /Players/13727/Show/Mile-Jedinak
2    /Players/13727/Show/Mile-Jedinak
3    /Players/13727/Show/Mile-Jedinak
Name: Link, dtype: object",25.0,0.0,75.0
Diogo Jota Wolverhampton Wanderers,"0    /Players/235755/Show/Diogo-Jota
1    /Players/235755/Show/Diogo-Jota
2    /Players/235755/Show/Diogo-Jota
Name: Link, dtype: object",66.66666666666667,0.0,33.33333333333333
Alexander Milosevic Nottingham Forest,"0    /Players/73258/Show/Alexander-Milosevic
1    /Players/73258/Show/Alexander-Milosevic
2    /Players/73258/Show/Alexander-Milosevic
Name: Link, dtype: object",66.66666666666667,0.0,33.33333333333333
Thomas Roberts FC Dallas,"0    /Players/371543/Show/Thomas-Roberts
1    /Players/371543/Show/Thomas-Roberts
Name: Link, dtype: object",0.0,50.0,50.0
Andre Shinyashiki Colorado Rapids,"0    /Players/371033/Show/Andre-Shinyashiki
1    /Players/371033/Show/Andre-Shinyashiki
Name: Link, dtype: object",0.0,0.0,100.0
Alban Lafont Fiorentina,"0    /Players/300590/Show/Alban-Lafont
1    /Players/300590/Show/Alban-Lafont
Name: Link, dtype: object",50.0,0.0,50.0
Jordan Archer Millwall,"0    /Players/120105/Show/Jordan-Archer
1    /Players/120105/Show/Jordan-Archer
Name: Link, dtype: object",50.0,0.0,50.0
Emil Audero Sampdoria,"0    /Players/254692/Show/Emil-Audero
Name: Link, dtype: object",100.0,0.0,0.0
Florent Mollet Montpellier,"0    /Players/114169/Show/Florent-Mollet
Name: Link, dtype: object",0.0,0.0,100.0
Juanpe Girona,"0    /Players/140803/Show/Juanpe
Name: Link, dtype: object",100.0,0.0,0.0
Orji Okwonkwo Montreal Impact,"0    /Players/330643/Show/Orji-Okwonkwo
Name: Link, dtype: object",0.0,0.0,100.0
Domenico Criscito Genoa,"0    /Players/13895/Show/Domenico-Criscito
Name: Link, dtype: object",0.0,100.0,0.0
Jan Zamburek Brentford,"0    /Players/370314/Show/Jan-Zamburek
Name: Link, dtype: object",0.0,0.0,100.0
Maxi Gómez Celta Vigo,"0     /Players/344119/Show/Maxi-Gómez
1     /Players/344119/Show/Maxi-Gómez
2     /Players/344119/Show/Maxi-Gómez
3     /Players/344119/Show/Maxi-Gómez
4     /Players/344119/Show/Maxi-Gómez
5     /Players/344119/Show/Maxi-Gómez
6     /Players/344119/Show/Maxi-Gómez
7     /Players/344119/Show/Maxi-Gómez
8     /Players/344119/Show/Maxi-Gómez
9     /Players/344119/Show/Maxi-Gómez
10    /Players/344119/Show/Maxi-Gómez
11    /Players/344119/Show/Maxi-Gómez
12    /Players/344119/Show/Maxi-Gómez
13    /Players/344119/Show/Maxi-Gómez
14    /Players/344119/Show/Maxi-Gómez
15    /Players/344119/Show/Maxi-Gómez
16    /Players/344119/Show/Maxi-Gómez
17    /Players/344119/Show/Maxi-Gómez
18    /Players/344119/Show/Maxi-Gómez
19    /Players/344119/Show/Maxi-Gómez
20    /Players/344119/Show/Maxi-Gómez
21    /Players/344119/Show/Maxi-Gómez
22    /Players/344119/Show/Maxi-Gómez
23    /Players/344119/Show/Maxi-Gómez
24    /Players/344119/Show/Maxi-Gómez
25    /Players/344119/Show/Maxi-Gómez
26    /Players/344119/Show/Maxi-Gómez
27    /Players/344119/Show/Maxi-Gómez
28    /Players/344119/Show/Maxi-Gómez
29    /Players/344119/Show/Maxi-Gómez
30    /Players/344119/Show/Maxi-Gómez
31    /Players/344119/Show/Maxi-Gómez
32    /Players/344119/Show/Maxi-Gómez
33    /Players/344119/Show/Maxi-Gómez
34    /Players/344119/Show/Maxi-Gómez
35    /Players/344119/Show/Maxi-Gómez
36    /Players/344119/Show/Maxi-Gómez
37    /Players/344119/Show/Maxi-Gómez
38    /Players/344119/Show/Maxi-Gómez
39    /Players/344119/Show/Maxi-Gómez
40    /Players/344119/Show/Maxi-Gómez
41    /Players/344119/Show/Maxi-Gómez
42    /Players/344119/Show/Maxi-Gómez
43    /Players/344119/Show/Maxi-Gómez
44    /Players/344119/Show/Maxi-Gómez
45    /Players/344119/Show/Maxi-Gómez
46    /Players/344119/Show/Maxi-Gómez
47    /Players/344119/Show/Maxi-Gómez
48    /Players/344119/Show/Maxi-Gómez
49    /Players/344119/Show/Maxi-Gómez
Name: Link, dtype: object",40.0,16.0,44.0
