league,team,ws_link,tm_link
Super League (CHI),Jiangsu Suning FC,/Teams/7125/Show/China-Jiangsu-Suning-FC,/jiangsu-guoxin-sainty/startseite/verein/22219
Super League (CHI),Dalian Yifang,/Teams/10110/Show/China-Dalian-Yifang,/dalian-aerbin/startseite/verein/33304
Super League (CHI),Shenzhen FC,/Teams/2539/Show/China-Shenzhen-FC,/shenzhen-ruby/startseite/verein/1320
Super League (CHI),Shanghai Shenhua,/Teams/2530/Show/China-Shanghai-Shenhua,/shanghai-greenland/startseite/verein/3183
Super League (CHI),Tianjin Tianhai,/Teams/10108/Show/China-Tianjin-Tianhai,/tianjin-songjiang-f-c-/startseite/verein/33714
Super League (CHI),Chongqing Lifan,/Teams/2533/Show/China-Chongqing-Lifan,/chongqing-lifan/startseite/verein/1326
MLS (USA),Real Salt Lake,/Teams/2947/Show/USA-Real-Salt-Lake,/real-salt-lake-city/startseite/verein/6643
MLS (USA),Philadelphia Union,/Teams/8586/Show/USA-Philadelphia-Union,/philadelphia-union/startseite/verein/25467
MLS (USA),FC Cincinnati,/Teams/24949/Show/USA-FC-Cincinnati,/fc-cincinnati/startseite/verein/51772
MLS (USA),Colorado Rapids,/Teams/1120/Show/USA-Colorado-Rapids,/colorado-rapids/startseite/verein/1247
MLS (USA),Vancouver Whitecaps,/Teams/11134/Show/Canada-Vancouver-Whitecaps,/vancouver-whitecaps/startseite/verein/6321
MLS (USA),New York Red Bulls,/Teams/1121/Show/USA-New-York-Red-Bulls,/new-york-red-bulls/startseite/verein/623
MLS (USA),Houston Dynamo,/Teams/3624/Show/USA-Houston-Dynamo,/houston-dynamo/startseite/verein/9168
MLS (USA),FC Dallas,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
MLS (USA),Orlando City,/Teams/10221/Show/USA-Orlando-City,/orlando-city-sc/startseite/verein/45604
MLS (USA),Toronto FC,/Teams/4186/Show/Canada-Toronto-FC,/toronto-fc/startseite/verein/11141
MLS (USA),Montreal Impact,/Teams/11135/Show/Canada-Montreal-Impact,/montreal-impact/startseite/verein/4078
MLS (USA),New York City FC,/Teams/19584/Show/USA-New-York-City-FC,/new-york-city-fc/startseite/verein/40058
MLS (USA),Columbus Crew,/Teams/1113/Show/USA-Columbus-Crew,/columbus-crew/startseite/verein/813
MLS (USA),Minnesota United,/Teams/9293/Show/USA-Minnesota-United,/minnesota-united-fc/startseite/verein/56089
MLS (USA),Seattle Sounders FC,/Teams/5973/Show/USA-Seattle-Sounders-FC,/seattle-sounders-fc/startseite/verein/9636
MLS (USA),Portland Timbers,/Teams/11133/Show/USA-Portland-Timbers,/portland-timbers/startseite/verein/4291
MLS (USA),San Jose Earthquakes,/Teams/1122/Show/USA-San-Jose-Earthquakes,/san-jose-earthquakes/startseite/verein/218
MLS (USA),Los Angeles FC,/Teams/27482/Show/USA-Los-Angeles-FC,/los-angeles-football-club/startseite/verein/51828
MLS (USA),Chicago Fire,/Teams/1118/Show/USA-Chicago-Fire,/chicago-fire/startseite/verein/432
MLS (USA),Atlanta United,/Teams/26666/Show/USA-Atlanta-United,/atlanta-united-fc/startseite/verein/51663
MLS (USA),Sporting Kansas City,/Teams/1116/Show/USA-Sporting-Kansas-City,/sporting-kansas-city/startseite/verein/4284
