current_value,highest_value,outfitter,last_team,prev_team,prev_prev_team,link
£900k,£2.25m,None,Lausanne-Sport,R. Majadahonda,Lausanne-Sport,/enzo-zidane/profil/spieler/106825
£9.00m,£10.80m,None,Paris SG,E. Frankfurt,Paris SG,/kevin-trapp/profil/spieler/45672
£1.80m,£3.15m,None,1. FC Köln,SC Amiens,1. FC Köln,/serhou-guirassy/profil/spieler/270541
£22.50m,£22.50m,None,Bay. Leverkusen,TSG Hoffenheim,Hamburger SV,/kerem-demirbay/profil/spieler/125858
£270k,£900k,None,Y. Malatyaspor,Balikesirspor,Manisaspor,/bulent-cevahir/profil/spieler/147518
£360k,£450k,None,SD Huesca,Mumbai City,Platanias,/juan-aguilera/profil/spieler/75820
£270k,£270k,None,CD Lugo,Elche CF,Real Oviedo,/josete/profil/spieler/77037
£675k,£675k,None,VVV-Venlo,FC Den Bosch,Feyenoord U19,/moreno-rutten/profil/spieler/187296
£675k,£675k,None,Timbers,Minnesota Utd.,Salt Lake,/jeff-attinella/profil/spieler/179323
£9.00m,£9.00m,None,VfB Stuttgart,Galatasaray,Galatasaray U21,/ozan-kabak/profil/spieler/361260
£900k,£1.58m,None,Bor. M'gladbach,Holstein Kiel,Bor. M'gladbach,/laszlo-benes/profil/spieler/243188
£6.30m,£11.70m,None,TSG Hoffenheim,Standard Liège,Werder Bremen,/ishak-belfodil/profil/spieler/111039
£225k,£360k,None,Nacional,Moura,Naval,/mauro-cerqueira/profil/spieler/352847
£13.50m,£13.50m,None,SSC Napoli,AS Roma,SSC Napoli,/mario-rui/profil/spieler/87884
£13.50m,£13.50m,None,Huddersfield,Monaco,Huddersfield,/terence-kongolo/profil/spieler/152651
£720k,£3.15m,None,KS Samara,Anzhi,Spartak Moscow,/pavel-yakovlev/profil/spieler/63170
£6.30m,£14.40m,None,Villarreal,Bologna,Villarreal,/nicola-sansone/profil/spieler/82048
£9.00m,£9.00m,None,FC Barcelona,FC Barcelona B,SD Eibar,/marc-cucurella/profil/spieler/284857
£135k,£2.25m,None,FC Augsburg,1.FC K'lautern,FC Augsburg,/jan-ingwer-callsen-bracker/profil/spieler/3851
£45.00m,£45.00m,None,FC Barcelona,Sevilla FC,AS Nancy,/clement-lenglet/profil/spieler/182904
