current_value,highest_value,outfitter,last_team,prev_team,prev_prev_team,link
£2.25m,£3.60m,None,Hannover 96,SC Freiburg,SC Freiburg II,/oliver-sorg/profil/spieler/55114
£13.50m,£13.50m,None,Sporting CP,Racing Club,Ferro,/marcos-acuna/profil/spieler/60410
£5.85m,£6.75m,None,Braga,Braga B,Braga U19,/xadas/profil/spieler/345345
£900k,£990k,None,Genoa,RC Cesena,Cesena U19,/nicola-dalmonte/profil/spieler/301237
£630k,£900k,None,PEC Zwolle,BB Erzurumspor,Werder Bremen,/lennart-thy/profil/spieler/23553
£900k,£900k,None,Godoy Cruz,Godoy Cruz II,Godoy Cruz U20,/juan-andrada/profil/spieler/457212
£675k,£3.15m,None,FC Augsburg,FC Schalke 04,FC Augsburg,/jan-moravek/profil/spieler/63022
£540k,£720k,None,Independiente,River Plate,CA Banfield,/nicolas-domingo/profil/spieler/39150
£19.80m,£19.80m,None,RB Leipzig,Bay. Leverkusen,Bor. Dortmund,/kevin-kampl/profil/spieler/53418
£450k,£518k,None,Colorado,Switchbacks FC,Colorado,/kofi-opare/profil/spieler/256357
£1.17m,£3.60m,None,Bologna,Ajax,Norwich,/mitchell-dijks/profil/spieler/187245
£1.35m,£3.60m,None,Hamburger SV,VfB Stuttgart,Albirex Niigata,/gotoku-sakai/profil/spieler/103310
£4.05m,£9.90m,None,SSC Napoli,Spurs,Steaua Bukarest,/vlad-chiriches/profil/spieler/123261
£810k,£810k,None,Arsenal Tula,Amkar Perm,Tosno,/artur-nigmatullin/profil/spieler/70074
£3.15m,£3.15m,None,SCO Angers,Carquefou,Stade Brest 29,/romain-thomas/profil/spieler/57467
£3.15m,£4.05m,None,PSV Eindhoven,Hertha BSC,PSV Eindhoven,/derrick-luckassen/profil/spieler/241457
£2.25m,£3.60m,None,Rayo Vallecano,Toulouse,Sporting Gijón,/oscar-trejo/profil/spieler/30321
£180k,£180k,None,Holstein Kiel,Bor. Dortmund,B. Dortmund II,/dominik-reimann/profil/spieler/238722
£225k,£225k,None,R. Strasbourg,Club Africain,No_team,/moataz-zemzemi/profil/spieler/422893
£630k,£630k,None,VVV-Venlo,Chemnitzer FC,FC Twente U21,/nils-roseler/profil/spieler/47740
£2.25m,£3.15m,None,Brighton,QPR,Brighton,/tomer-hemed/profil/spieler/112668
£2.70m,£2.70m,None,OGC Nice,Nîmes Olympique,OGC Nice,/olivier-boscagli/profil/spieler/318508
£315k,£315k,None,VVV-Venlo,ADO U19,ADO Youth,/tristan-dekker/profil/spieler/315124
£225k,£225k,None,Mladá Boleslav,Erzgebirge Aue,Mladá Boleslav,/jan-kral/profil/spieler/358132
£6.30m,£6.30m,None,Sporting CP,Sporting B,Sporting U19,/jovane-cabral/profil/spieler/448466
£1.35m,£1.35m,None,Sampdoria,Bologna,Sampdoria,/alex-ferrari/profil/spieler/197491
£90k,£90k,None,NAC Breda,NAC Breda U19,NAC Breda U17,/marwin-reuvers/profil/spieler/470910
£158k,£158k,None,Toronto FC,Toronto FC II,Toronto FC,/ayo-akinola/profil/spieler/370979
£4.50m,£5.40m,None,Lazio,SPAL,Lazio,/alessandro-murgia/profil/spieler/289061
£5.40m,£6.30m,None,VfB Stuttgart,VfL Wolfsburg,VfB Stuttgart,/daniel-didavi/profil/spieler/57995
£9.00m,£9.00m,None,Zenit S-Pb,Ufa,Saturn,/andrey-lunev/profil/spieler/112541
£36.00m,£36.00m,None,Man City,Bor. Dortmund,1.FC Nuremberg,/ilkay-gundogan/profil/spieler/53622
£18.00m,£19.80m,None,Valencia,Getafe,Real Madrid,/dani-parejo/profil/spieler/59561
£5.40m,£11.70m,None,TJ Teda,Bayern Munich,TSG Hoffenheim,/sandro-wagner/profil/spieler/39743
£16.20m,£16.20m,None,Everton,CSKA Moscow,Everton,/nikola-vlasic/profil/spieler/293200
£810k,£810k,None,Udinese Calcio,Kalmar FF,Kalmar U19,/svante-ingelsson/profil/spieler/321079
£450k,£1.08m,None,SV Darmstadt 98,FSV Frankfurt,SV Darmstadt 98,/yannick-stark/profil/spieler/49737
£630k,£675k,None,Man City,Dep. La Coruña,Man City,/pablo-mari/profil/spieler/210178
£900k,£900k,None,Granada CF,Nacional,Nacional U19,/rui-silva/profil/spieler/234811
£225k,£270k,None,Kansas,Arsenal U23,VVV-Venlo,/gedion-zelalem/profil/spieler/228370
£360k,£360k,None,ADO Den Haag,ADO U21,NEC U21,/thijmen-goppel/profil/spieler/342240
£540k,£540k,None,Reims,Guimarães B,LOSC Lille,/nolan-mbemba/profil/spieler/276768
£5.85m,£5.85m,None,TJ Teda,RSC Anderlecht,TJ Teda,/frank-acheampong/profil/spieler/157160
£2.70m,£4.05m,None,CF Pachuca,CA Talleres,CF Pachuca,/sebastian-palacios/profil/spieler/262861
-,£2.70m,None,Levante,Recr. Huelva,Villarreal CF B,/tono/profil/spieler/125931
£13.50m,£13.50m,None,Marseille,Marseille U19,Marseille Yth,/boubacar-kamara/profil/spieler/394327
£3.60m,£3.60m,None,Guingamp,Paris SG B,Paris SG U19,/felix-eboa-eboa/profil/spieler/296359
£900k,£1.80m,None,Udinese Calcio,Nottm Forest,Udinese Calcio,/molla-wague/profil/spieler/129893
£36.00m,£36.00m,None,Spurs,Sporting CP,Sporting U19,/eric-dier/profil/spieler/175722
0,0,None,Salt Lake,Cardinals,ZBR Academy,/tate-schmitt/profil/spieler/637658
£540k,£1.35m,None,1.FC Heidenheim,FC Ingolstadt,FC Schalke 04,/robert-leipertz/profil/spieler/119120
£2.25m,£2.25m,None,SC Amiens,Corinthians,EC Bahia,/stiven-mendoza/profil/spieler/131101
£1.13m,£2.70m,None,Y. Malatyaspor,River Plate,Independiente,/arturo-mina/profil/spieler/263628
£450k,£1.58m,None,Boavista,Estoril,Vitória Setúbal,/andre-claro/profil/spieler/86804
£18.00m,£22.50m,None,Olympique Lyon,Valenciennes FC,Valencienne U19,/lucas-tousart/profil/spieler/353948
£1.13m,£7.43m,None,Osmanlispor,Akhisarspor,FC Porto,/josue/profil/spieler/72772
£7.20m,£7.20m,None,Toronto FC,KRC Genk,Rayo Vallecano,/alejandro-pozuelo/profil/spieler/188853
£270k,£9.90m,None,SPAL,Bologna,Sassuolo,/sergio-floccari/profil/spieler/30638
£10.80m,£10.80m,None,Genoa,Inter,Genoa,/ionut-radu/profil/spieler/303657
£900k,£3.83m,None,Konyaspor,Karabükspor,Konyaspor,/abdou-traore/profil/spieler/42941
£72.00m,£72.00m,None,FC Barcelona,Bor. M'gladbach,M'gladbach U19,/marc-andre-ter-stegen/profil/spieler/74857
£1.13m,£1.80m,None,Argentinos Jrs,Argentinos II,Argentinos U20,/damian-batallini/profil/spieler/421998
£16.20m,£16.20m,None,Brighton,AZ Alkmaar,NEC Nijmegen,/alireza-jahanbakhsh/profil/spieler/213268
£18.00m,£18.00m,None,Everton,RB Leipzig,Everton,/ademola-lookman/profil/spieler/406040
£585k,£900k,None,Akhisarspor,Kayserispor,Göztepe,/rajko-rotman/profil/spieler/100303
£1.13m,£1.13m,None,NY Red Bulls,San Francisco,NY Red Bulls,/michael-murillo/profil/spieler/354482
£450k,£900k,None,Chaves,Feirense,Anápolis-GO,/platiny/profil/spieler/248901
£720k,£720k,None,Cincinnati,FC St. Gallen,CF Pachuca,/kekuta-manneh/profil/spieler/253053
£3.15m,£3.15m,None,Brentford,OGC Nice,LB Châteauroux,/said-benrahma/profil/spieler/290532
£1.35m,£1.80m,None,Nottm Forest,Newcastle,Ipswich,/daryl-murphy/profil/spieler/31312
£4.50m,£6.30m,None,LOSC Lille,Aston Villa,LOSC Lille,/anwar-el-ghazi/profil/spieler/183720
£540k,£720k,None,Ajax,PEC Zwolle,PEC Zwolle,/mickey-van-der-hart/profil/spieler/207048
£900k,£900k,None,Sounders FC,Stanford Card.,Sounders U23,/jordan-morris/profil/spieler/337807
£4.50m,£13.50m,None,Marseille,Spurs,Marseille,/clinton-njie/profil/spieler/241119
£3.60m,£3.60m,None,Rayo Vallecano,Coruxo FC,Val Miñor,/santi-comesana/profil/spieler/380598
£495k,£900k,None,Akhisar Belediye,Karabükspor,Elazigspor,/onur-ayik/profil/spieler/52006
£9.00m,£9.00m,None,Sporting CP,Braga,Chaves,/rodrigo-battaglia/profil/spieler/89297
£270k,£450k,None,FC St. Pauli,FC St. Pauli II,FC St. Pauli II,/ih-yeong-park/profil/spieler/307397
£675k,£1.80m,None,Alanyaspor,Al Khor,Flamengo,/welinton/profil/spieler/95152
£720k,£5.40m,None,AS Roma,Bologna,Parma,/antonio-mirante/profil/spieler/22141
£315k,£315k,None,Blackburn,Reading,Ipswich,/dominic-samuel/profil/spieler/203784
£900k,£900k,None,Antalyaspor,Kemerspor 2003,Antalyaspor,/dogukan-sinik/profil/spieler/370833
£675k,£675k,None,Spartak Moscow,Spartak 2,Spartak II,/mikhail-ignatov/profil/spieler/419672
£4.95m,£4.95m,None,VfB Stuttgart,Hamburger SV,VfB Stuttgart,/orel-mangala/profil/spieler/289592
£405k,£540k,None,1.FC Magdeburg,Magdeburg U19,Magdeburg U17,/nils-butzen/profil/spieler/151105
£405k,£540k,None,1.FC Magdeburg,FSV Frankfurt,Saarbrücken,/steffen-schafer/profil/spieler/119291
£2.25m,£2.25m,None,Real Sociedad,Real Sociedad B,R. Sociedad U19,/luca-sangalli/profil/spieler/289286
£1.80m,£2.70m,None,Aston Villa,Hull City,Aston Villa,/tommy-elphick/profil/spieler/37152
£5.40m,£19.35m,None,Torino,Paris SG,CA Osasuna,/salvatore-sirigu/profil/spieler/25508
£2.70m,£4.50m,None,Athletic,SD Eibar,SD Eibar B,/ander-capa/profil/spieler/197545
£720k,£720k,None,RCD Mallorca,CD Numancia,CD Numancia B,/pablo-valcarce/profil/spieler/365313
£1.08m,£1.08m,None,KS Samara,Kuban Krasnodar,Anzhi,/georgi-zotov/profil/spieler/113235
£450k,£1.80m,None,Real Oviedo,UD Las Palmas,SD Huesca,/christian-fernandez/profil/spieler/48294
£765k,£765k,None,Chicago Fire,Tar Heels,Fire Premier,/djordje-mihailovic/profil/spieler/484756
£10.80m,£10.80m,None,Spurs,Estudiantes,Estudiantes II,/juan-foyth/profil/spieler/480763
£6.30m,£13.50m,None,JS Suning,Inter,Sampdoria,/eder/profil/spieler/37418
£4.50m,£5.40m,None,FC Porto,FC Porto B,FC Porto U19,/diogo-leite/profil/spieler/357156
£225k,£225k,None,Rotherham,Blackpool,Peterborough,/kyle-vassell/profil/spieler/293002
£2.70m,£2.70m,None,Ajax,Heerenveen,Heerenveen U19,/kik-pierie/profil/spieler/361207
£720k,£720k,None,Greuther Fürth,Hammarby,FC Aarau,/richard-magyar/profil/spieler/148727
£54.00m,£54.00m,None,FC Barcelona,Grêmio,Grêmio B,/arthur/profil/spieler/362842
£1.62m,£1.80m,None,Fiorentina,FC Empoli,Fiorentina,/vincent-laurini/profil/spieler/94936
£1.35m,£4.95m,None,Internacional,Los Angeles FC,Internacional,/danilo-silva/profil/spieler/61952
£450k,£720k,None,Minnesota Utd.,Sounders FC,Charleston,/osvaldo-alonso/profil/spieler/62810
£675k,£675k,None,Greuther Fürth,Alem. Aachen,Aachen U19,/tobias-mohr/profil/spieler/153661
£4.50m,£9.00m,None,RB Salzburg,Hamburger SV,RB Salzburg,/hee-chan-hwang/profil/spieler/292246
0,0,None,CA Talleres,CA Talleres II,No_team,/lautaro-guzman/profil/spieler/626916
£1.80m,£16.20m,None,Liverpool,Fenerbahce,Fenerbahce,/martin-skrtel/profil/spieler/24180
£2.70m,£2.70m,None,Hamburger SV,1.FC K'lautern,K'lautern II,/julian-pollersbeck/profil/spieler/228975
£1.80m,£1.80m,None,Konyaspor,Standard Liège,Waasl.-Beveren,/deni-milosevic/profil/spieler/168163
£6.30m,£6.30m,None,Spartak Moscow,Braga,Videoton FC,/ze-luis/profil/spieler/134602
£1.35m,£1.35m,None,Rostov,Brighton,Molde FK,/mathias-normann/profil/spieler/257805
£58.50m,£58.50m,None,RB Leipzig,VfB Stuttgart,Stuttgart U19,/timo-werner/profil/spieler/170527
£180k,£1.26m,None,Aldosivi,Racing Club,Quilmes,/ismael-quilez/profil/spieler/91360
£1.35m,£4.05m,None,Brighton,Celtic,Maccabi Haifa,/beram-kayal/profil/spieler/44741
£2.70m,£4.05m,None,Cagliari Calcio,Chievo Verona,AC Milan,/valter-birsa/profil/spieler/26105
£675k,£720k,None,NY Red Bulls,NY Red Bulls II,NY Red Bulls,/alex-muyl/profil/spieler/413690
£1.80m,£1.80m,None,SM Caen,OGC Nice,Tours FC,/romain-genevois/profil/spieler/57525
£9.00m,£9.00m,None,Arsenal,FC Basel,Arab Contr.,/mohamed-elneny/profil/spieler/160438
£13.50m,£13.50m,None,Everton,Everton U23,Everton U18,/tom-davies/profil/spieler/314210
£158k,£158k,None,Colorado,Charlotte Ind.,Colorado,/sam-vines/profil/spieler/535282
£1.80m,£1.80m,None,Salt Lake,FC Groningen,Man City,/albert-rusnak/profil/spieler/43228
0,0,None,Argentinos Jrs,General Diaz,Cerro Porteño,/enrique-borja/profil/spieler/417326
£8.10m,£8.10m,None,Guingamp,FC Sochaux,FC Sochaux B,/marcus-thuram/profil/spieler/318528
£405k,£405k,None,1.FC Heidenheim,Wehen Wiesbaden,Dynamo Dresden,/robert-andrich/profil/spieler/159088
£360k,£608k,None,Vancouver,Colorado,Philadelphia,/zac-macmath/profil/spieler/156300
£405k,£405k,None,NEC Nijmegen,FC Emmen,NEC Nijmegen,/sven-braken/profil/spieler/185400
£1.35m,£1.35m,None,Pyramids FC,C. Rizespor,Pyramids FC,/okechukwu-azubuike/profil/spieler/386126
£90k,£90k,None,Heracles Almelo,Heracles U21,AGOVV Apeldoorn,/michael-brouwer/profil/spieler/231650
£540k,£540k,None,Zenit 2 S-Pb,Rubin Kazan,Zenit 2 S-Pb,/egor-baburin/profil/spieler/146918
£76.50m,£76.50m,None,Liverpool,Southampton,RB Salzburg,/sadio-mane/profil/spieler/200512
£315k,£315k,None,Willem II U21,Willem II,Willem II,/kristofer-kristinsson/profil/spieler/400174
0,0,None,SM Caen,SM Caen U19,No_team,/evens-joseph/profil/spieler/593320
£2.25m,£2.25m,None,SC Freiburg,SV Sandhausen,1. FC Köln,/lukas-kubler/profil/spieler/93604
£10.80m,£15.30m,None,Hertha BSC,1.FC Nuremberg,Nuremberg II,/marvin-plattenhardt/profil/spieler/89592
£900k,£900k,None,Bournemouth,Hibernian FC,Bournemouth,/emerson-hyndman/profil/spieler/223047
£2.25m,£3.60m,None,Minnesota Utd.,América,Santos Laguna,/darwin-quintero/profil/spieler/55666
£360k,£360k,None,Estudiantes,Wanderers,Wanderers U19,/manuel-castro/profil/spieler/335984
£405k,£675k,None,SV Darmstadt 98,Panetolikos,Sturm Graz,/wilson-kamavuaka/profil/spieler/55512
£4.50m,£13.50m,None,Paris SG,Real Betis,Paris SG,/jese/profil/spieler/134936
£1.80m,£2.25m,None,Atalanta,Udinese Calcio,Atalanta,/marco-dalessandro/profil/spieler/99232
£22.50m,£22.50m,None,Real Madrid,Espanyol,RM Castilla,/lucas-vazquez/profil/spieler/221316
£315k,£3.60m,None,Antalyaspor,Sivasspor,Galatasaray,/yekta-kurtulus/profil/spieler/63204
£630k,£675k,None,Real Zaragoza,Dep. Aragón,Zaragoza Juv. A,/raul-guti/profil/spieler/330352
£1.80m,£1.80m,None,Dinamo Moscow,Lech Poznan,Platanias,/abdul-aziz-tetteh/profil/spieler/157003
£315k,£315k,None,FC Bayern II,Holstein Kiel,FC Bayern II,/franck-evina/profil/spieler/336331
£9.00m,£9.00m,None,SD Eibar,CD Leganés,CD Guijuelo,/ruben-pena/profil/spieler/238868
£1.35m,£1.35m,None,Montpellier,Sundowns,Ajax Cape Town,/keagan-dolly/profil/spieler/234006
£900k,£900k,None,Middlesbrough,Yeovil Town,Middlesbrough,/lewis-wing/profil/spieler/517286
£1.80m,£4.50m,None,Dep. La Coruña,Braga,Dep. La Coruña,/federico-cartabia/profil/spieler/242548
£6.30m,£6.30m,None,Newcastle,Arsenal U23,Hull City,/isaac-hayden/profil/spieler/206225
£16.20m,£19.80m,None,Stoke City,Derby,Stoke City,/jack-butland/profil/spieler/128899
£900k,£10.80m,None,Nottm Forest,Hull City,Spurs,/michael-dawson/profil/spieler/9988
£540k,£2.25m,None,Feirense,Vancouver,GZ Hengfeng,/aly-ghazal/profil/spieler/254981
£7.20m,£13.50m,None,Brighton,Valencia,FC Barcelona,/martin-montoya/profil/spieler/68645
£18.00m,£18.00m,None,Boca Juniors,Colón,Boca Juniors,/cristian-pavon/profil/spieler/373170
£1.35m,£2.25m,None,Valencia,Rayo Vallecano,Valencia,/alvaro-medran/profil/spieler/253839
£2.25m,£2.25m,None,Dinamo Moscow,Kayserispor,Karabükspor,/samba-sow/profil/spieler/89461
£4.05m,£4.05m,None,NY Red Bulls,Huracán,Huracán U20,/alejandro-romero-gamarra/profil/spieler/355817
£6.30m,£6.30m,None,Stoke City,Feirense,UD Las Palmas,/oghenekaro-etebo/profil/spieler/409106
£450k,£1.08m,None,SC Amiens,Luçon VF,Luçon VF,/khaled-adenon/profil/spieler/39174
£900k,£1.35m,None,Nottm Forest,Huddersfield,Dynamo Dresden,/michael-hefele/profil/spieler/102382
£450k,£6.30m,None,C. Rizespor,Fenerbahce,Sivasspor,/aatif-chahechouhe/profil/spieler/73480
£360k,£360k,None,NAC Breda,PSV Eindhoven,PSV U21,/ramon-pascal-lundqvist/profil/spieler/238084
£1.80m,£2.25m,None,Hull City,Wolves,Wigan,/nouha-dicko/profil/spieler/173750
£450k,£1.80m,None,Trabzonspor,Y. Malatyaspor,Kayserispor,/mustafa-akbas/profil/spieler/98113
£315k,£450k,None,União Madeira,Nacional,Ermis Aradippou,/marakis/profil/spieler/188669
£540k,£1.13m,None,Aldosivi,Guaraní,Brown Adrogue,/cristian-chavez/profil/spieler/70132
£4.50m,£18.00m,None,Fulham,Liverpool,RSC Anderlecht,/lazar-markovic/profil/spieler/144303
£23k,£270k,None,Enisey,Ufa,Enisey,/maksim-semakin/profil/spieler/72165
£810k,£810k,None,PEC Zwolle,Ajax U21,Ajax U19,/zian-flemming/profil/spieler/411537
£270k,£495k,None,1.FC Heidenheim,Erzgebirge Aue,FC Augsburg,/robert-strauss/profil/spieler/18068
£4.50m,£7.20m,None,Valencia,Valencia B,Valencia U19,/toni-lato/profil/spieler/320271
£18.00m,£18.00m,None,Aston Villa,Notts County,Aston Villa,/jack-grealish/profil/spieler/203460
£2.25m,£6.30m,None,Vitesse,FC Augsburg,1.FC Nuremberg,/tim-matavz/profil/spieler/50303
£4.50m,£4.50m,None,Aston Villa,Middlesbrough,Bristol City,/albert-adomah/profil/spieler/83430
£90k,£315k,None,Belenenses SAD,Feirense,Felgueiras,/kiki/profil/spieler/270055
£608k,£608k,None,Vancouver,UConn Huskies,No_team,/jake-nerwinski/profil/spieler/482612
£6.75m,£6.75m,None,Fenerbahce,Rabotnicki,Rabot. Youth,/eljif-elmas/profil/spieler/400489
£18.00m,£27.00m,None,Marseille,West Ham,Marseille,/dimitri-payet/profil/spieler/37647
£4.05m,£5.40m,None,Bayern Munich,VfB Stuttgart,Stuttgart II,/sven-ulreich/profil/spieler/40680
£900k,£1.35m,None,VfL Bochum,TSG Hoffenheim,TSG Hoffenheim,/danilo-soares/profil/spieler/154396
£585k,£810k,None,Zulte Waregem,NAC Breda,Zulte Waregem,/robert-muhren/profil/spieler/186763
£1.58m,£1.58m,None,Kansas,Derby,Dundee United,/johnny-russell/profil/spieler/55494
£1.80m,£2.70m,None,Aston Villa,Nottm Forest,Arsenal,/henri-lansbury/profil/spieler/44794
£113k,£113k,None,FC Dallas,Roughnecks FC,FC Dallas,/brandon-servania/profil/spieler/455979
£3.15m,£3.15m,None,Fenerbahce,Grêmio,Chapecoense U20,/jailson/profil/spieler/366948
£9.00m,£10.80m,None,Middlesbrough,Nottm Forest,Peterborough,/britt-assombalonga/profil/spieler/186172
£675k,£675k,None,West Brom,Scunthorpe Utd.,Hull City,/conor-townsend/profil/spieler/146509
£540k,£630k,None,Anzhi,Dinamo Moscow,Orenburg,/ivan-markelov/profil/spieler/106569
£6.30m,£8.10m,None,Olympique Lyon,Besiktas,Hannover 96,/marcelo/profil/spieler/52920
£1.80m,£5.85m,None,Dinamo Moscow,Dinamo M II,Akademia Dinamo,/anton-shunin/profil/spieler/37549
£6.75m,£10.80m,None,Athletic,Liverpool U23,Athletic,/mikel-san-jose/profil/spieler/52469
£27.00m,£28.80m,None,Spurs,Ajax,RKC Waalwijk,/jan-vertonghen/profil/spieler/43250
£540k,£675k,None,Minnesota Utd.,Colorado,Montreal Impact,/eric-miller/profil/spieler/245315
£135k,£135k,None,NY Red Bulls,Valencienne U19,Monmouth,/kyle-duncan/profil/spieler/349699
£630k,£630k,None,F. Düsseldorf,Erzgebirge Aue,F. Düsseldorf,/emmanuel-iyoha/profil/spieler/314245
£2.70m,£7.20m,None,Genoa,Lazio,Genoa,/romulo/profil/spieler/121756
£135k,£135k,None,Trabzonspor,Trabzonspor U21,1461 Trabzon,/murat-cem-akpinar/profil/spieler/388913
£450k,£450k,None,Werder Bremen,W. Bremen U19,W. Bremen U17,/luca-plogmann/profil/spieler/335997
£1.35m,£2.70m,None,Swansea,Heerenveen,Feyenoord,/erwin-mulder/profil/spieler/56631
£1.35m,£2.70m,None,Celta de Vigo,SD Eibar,Girona,/david-junca/profil/spieler/164055
£900k,£1.98m,None,CA Rosario,San Lorenzo,Argentinos Jrs,/matias-caruzzo/profil/spieler/56573
£540k,£810k,None,Nacional,Gil Vicente,Portimonense,/vitor-goncalves/profil/spieler/194547
£6.75m,£9.90m,None,Bilbao Athletic,Athletic,Athletic,/markel-susaeta/profil/spieler/54245
£2.25m,£2.25m,None,SM Caen,Marseille,AS Nancy,/brice-samba/profil/spieler/191056
£6.75m,£12.60m,None,Real Sociedad,Man City,Real Sociedad,/geronimo-rulli/profil/spieler/229604
£31.50m,£31.50m,None,TSG Hoffenheim,Leicester,TSG Hoffenheim,/andrej-kramaric/profil/spieler/46580
£1.80m,£2.70m,None,SD Eibar,Espanyol,Rayo Vallecano,/anaitz-arbilla/profil/spieler/71548
£7.20m,£7.20m,None,GZ Evergrande,TJ Tianhai,GZ Evergrande,/alan/profil/spieler/73460
£7.20m,£7.20m,None,TSG Hoffenheim,FC Ingolstadt,VfR Aalen,/benjamin-hubner/profil/spieler/52348
£360k,£405k,None,FC St. Pauli,1.FC Heidenheim,Heidenheim U19,/kevin-lankford/profil/spieler/338879
£180k,£540k,None,MSV Duisburg,1.FC K'lautern,FC 08 Homburg,/enis-hajri/profil/spieler/28735
£2.25m,£15.30m,None,Marseille,Crystal Palace,Marseille,/steve-mandanda/profil/spieler/23951
£3.15m,£4.50m,None,Real Sociedad,SD Eibar,Real Sociedad,/raul-navas/profil/spieler/142419
£7.20m,£7.20m,None,R. Strasbourg,FC Nantes,Évian,/adrien-thomasson/profil/spieler/215977
£4.50m,£4.50m,None,TSG Hoffenheim,PSV Eindhoven,PSV U21,/joshua-brenet/profil/spieler/207006
£4.50m,£5.40m,None,Bologna,CDUC,Antofagasta,/erick-pulgar/profil/spieler/215616
£270k,£540k,None,D.C. United,Salt Lake,Salt Lake,/nick-rimando/profil/spieler/39434
£1.62m,£1.62m,None,Independiente,Aldosivi,Independiente,/lucas-villalba/profil/spieler/240913
£450k,£900k,None,Quakes,Ipswich,Derby,/simon-dawkins/profil/spieler/57488
£225k,£450k,None,1.FC Heidenheim,1860 Munich,1860 München II,/vitus-eicher/profil/spieler/57796
£36.00m,£36.00m,None,SSC Napoli,Real Betis,Elche CF,/fabian-ruiz/profil/spieler/350219
£900k,£900k,None,SD Huesca,Valencia B,CD Numancia,/carlos-akapo/profil/spieler/225015
£630k,£630k,None,Chaves,São Caetano,Alagoano,/niltinho/profil/spieler/271353
£675k,£900k,None,MSV Duisburg,VfB Stuttgart,Zbrojovka Brno,/borys-tashchy/profil/spieler/138292
£2.25m,£2.70m,None,Al Arabi,Cardiff,Coventry,/aron-gunnarsson/profil/spieler/63821
£900k,£1.35m,None,Chaves,Kayserispor,MSK Zilina,/william/profil/spieler/153207
£1.08m,£2.52m,None,Dinamo Moscow,VfB Stuttgart,US Palermo,/toni-sunjic/profil/spieler/60790
£10.80m,£12.60m,None,Udinese Calcio,Slavia Prag,1.FK Pribram,/antonin-barak/profil/spieler/272261
£1.80m,£1.80m,None,Everton U23,Bolton,Everton U23,/callum-connolly/profil/spieler/308632
£31.50m,£31.50m,None,Liverpool,Charlton,Charlton U18,/joe-gomez/profil/spieler/256178
£270k,£450k,None,Internacional,Rio Ave FC,Internacional,/junio/profil/spieler/520469
£225k,£270k,None,SCO Angers,Korona Kielce,ASV Geel,/elhadji-pape-diaw/profil/spieler/410238
£45.00m,£45.00m,None,Marseille,Newcastle,Marseille,/florian-thauvin/profil/spieler/184892
£2.25m,£2.25m,None,Sporting CP,Sporting CP U23,Sporting B,/miguel-luis/profil/spieler/357161
£450k,£4.50m,None,Real Oviedo,Real Sociedad,Real Sociedad B,/carlos-martinez/profil/spieler/58074
0,0,None,Montpellier,HSC Montpellier B,HSC Montpellier U19,/yannis-ammour/profil/spieler/420782
£2.25m,£2.25m,None,Estudiantes,Tigre,Defensa,/facundo-sanchez/profil/spieler/107523
£2.25m,£2.25m,None,Parma,Venezia,FC Koper,/leo-stulac/profil/spieler/171159
£6.30m,£6.30m,None,Brighton,Brighton U18,Lewes U18,/solly-march/profil/spieler/209212
£1.13m,£1.13m,None,1.FC Heidenheim,SSV Ulm 1846,SSV Ulm 1846 II,/sebastian-griesbeck/profil/spieler/153555
£10.80m,£10.80m,None,Brighton,Bristol City,Brighton,/lewis-dunk/profil/spieler/148153
£2.70m,£6.30m,None,PSV Eindhoven,FC Utrecht,FC Utrecht U19,/bart-ramselaar/profil/spieler/326701
£540k,£540k,None,Loko Moscow,Kazanka,Loko Moscow II,/roman-tugarev/profil/spieler/289643
£810k,£1.35m,None,Dinamo Moscow,Mordovia,Torpedo Moscow,/vladimir-rykov/profil/spieler/117802
£270k,£270k,None,NAC Breda,Bury,Bradford,/greg-leigh/profil/spieler/201586
£1.13m,£1.35m,None,Chaves,Vitória Setúbal,Lusitano FCV,/costinha/profil/spieler/236886
£18.00m,£18.00m,None,SSC Napoli,Udinese Calcio,SSC Napoli,/alex-meret/profil/spieler/240414
£9.00m,£9.00m,None,Nottm Forest,Benfica,Benfica B,/joao-carvalho/profil/spieler/258005
£9.00m,£9.00m,None,Newcastle,CD Tenerife,Tenerife U19,/ayoze-perez/profil/spieler/246968
£2.70m,£2.70m,None,Birmingham,Burnley,Birmingham,/lukas-jutkiewicz/profil/spieler/33507
£1.13m,£1.13m,None,Heracles Almelo,Telstar,Telstar,/mohammed-osman/profil/spieler/273431
0,0,None,Brentford B,Klubi 04,HJK U19,/jaakko-oksanen/profil/spieler/433893
£900k,£900k,None,SC Amiens,SC Amiens B,FC Le Mans B,/oualid-el-hajjam/profil/spieler/283127
£1.35m,£1.35m,None,E. Frankfurt,Maccabi Haifa,M. Haifa U19,/taleb-tawatha/profil/spieler/60761
£4.05m,£6.30m,None,Hannover 96,Corinthians,Hannover 96,/jonathas/profil/spieler/58345
£1.08m,£1.08m,None,Konyaspor,FC Lorient,Lillestrøm SK,/moryke-fofana/profil/spieler/240497
£270k,£1.80m,None,CA Banfield,Huracán,Quilmes,/adrian-calello/profil/spieler/55911
£2.70m,£2.70m,None,Swansea,Swansea U23,Shrewsbury,/daniel-james/profil/spieler/319301
£90k,£90k,None,VfL Bochum,VfL Bochum U19,RW Essen U19,/baris-ekincier/profil/spieler/383223
£1.35m,£1.35m,None,Nottm Forest,QPR,Huddersfield,/jack-robinson/profil/spieler/128909
