player,days_missed,games_missed
/max-clark/profil/spieler/183291,0,0
/sergio-postigo/profil/spieler/158791,89,13
/stanislav-iljutcenko/profil/spieler/191292,3,0
/ivan-marcone/profil/spieler/90451,0,0
/florent-mollet/profil/spieler/222859,0,0
/juanpe/profil/spieler/115333,180,22
/alban-lafont/profil/spieler/357117,16,2
/bruno-viana/profil/spieler/411838,0,0
/emil-audero/profil/spieler/256339,0,0
/christian-gentner/profil/spieler/19112,217,37
/jordan-archer/profil/spieler/177952,0,0
/afonso-figueiredo/profil/spieler/237000,0,0
/everton-luiz/profil/spieler/75076,53,7
/trent-alexander-arnold/profil/spieler/314353,26,5
/dominique-badji/profil/spieler/354840,36,5
/shkodran-mustafi/profil/spieler/88590,230,42
/lazar-rosic/profil/spieler/198053,285,41
/matheus-cunha/profil/spieler/517894,0,0
/orji-okwonkwo/profil/spieler/401935,25,5
/gwion-edwards/profil/spieler/192766,0,0
/abdullah-durak/profil/spieler/82713,117,18
/ricardo-ryller/profil/spieler/349443,0,0
/elson-hooi/profil/spieler/229228,74,11
/evgeni-chernov/profil/spieler/187024,0,0
/warner-hahn/profil/spieler/111180,597,76
/alex-blanco/profil/spieler/328914,0,0
/julian-gressel/profil/spieler/229640,3,1
/domenico-criscito/profil/spieler/44136,211,39
/alexander-milosevic/profil/spieler/171376,279,37
/jordan-lefort/profil/spieler/192492,0,0
/fernando-zampedri/profil/spieler/104006,0,0
/deklan-wynne/profil/spieler/298228,0,0
/jordan-henderson/profil/spieler/61651,473,82
/kamil-zakirov/profil/spieler/494353,0,0
/niko-giesselmann/profil/spieler/72792,44,8
/thomas-roberts/profil/spieler/513967,26,4
/jan-zamburek/profil/spieler/487924,0,0
/robin-bormuth/profil/spieler/283286,0,0
/jordan-torunarigha/profil/spieler/227110,137,15
/mile-jedinak/profil/spieler/28336,30,5
/tyrone-mings/profil/spieler/253677,608,81
/john-mcginn/profil/spieler/193116,123,16
/diogo-jota/profil/spieler/340950,46,8
/omir-fernandez/profil/spieler/467271,0,0
/gonzalo-escalante/profil/spieler/266795,54,6
/nicolas-blandi/profil/spieler/153022,0,0
/danny-bakker/profil/spieler/250440,289,27
/charles/profil/spieler/154059,181,23
/leandro-fernandez/profil/spieler/131840,245,25
/igor-akinfeev/profil/spieler/15570,418,52
/andre-shinyashiki/profil/spieler/636331,0,0
/jake-cooper/profil/spieler/243603,0,0
/neymar/profil/spieler/68290,269,52
/pierre-emerick-aubameyang/profil/spieler/58864,32,9
/serdar-dursun/profil/spieler/80059,39,5
/valon-behrami/profil/spieler/21905,502,47
/cristian-herrera/profil/spieler/237617,6,1
/kalindi/profil/spieler/379377,0,0
/lorenzo-tonelli/profil/spieler/111347,171,27
/enzo-zidane/profil/spieler/106825,0,0
/kevin-trapp/profil/spieler/45672,326,42
/serhou-guirassy/profil/spieler/270541,375,36
/kerem-demirbay/profil/spieler/125858,0,0
/bulent-cevahir/profil/spieler/147518,10,3
/juan-aguilera/profil/spieler/75820,107,14
/josete/profil/spieler/77037,0,0
/moreno-rutten/profil/spieler/187296,454,17
/jeff-attinella/profil/spieler/179323,79,10
/ozan-kabak/profil/spieler/361260,14,1
/laszlo-benes/profil/spieler/243188,396,44
/ishak-belfodil/profil/spieler/111039,52,3
/mauro-cerqueira/profil/spieler/352847,32,0
/mario-rui/profil/spieler/87884,155,27
/terence-kongolo/profil/spieler/152651,209,27
