age,link
24,/marlon-ritter/profil/spieler/151636
25,/ayoub-el-kaabi/profil/spieler/521127
28,/adam-smith/profil/spieler/61841
30,/chris-lowe/profil/spieler/55125
17,/sem-steijn/profil/spieler/593519
26,/alex-telles/profil/spieler/255755
24,/jorrit-hendrix/profil/spieler/205004
23,/marco-asensio/profil/spieler/296622
23,/timo-baumgartl/profil/spieler/187491
35,/javi-fuego/profil/spieler/56134
25,/joao-teixeira/profil/spieler/182710
29,/facundo-piriz/profil/spieler/148607
24,/younes-namli/profil/spieler/227039
23,/arturo-calabresi/profil/spieler/240897
23,/niklas-sule/profil/spieler/166601
27,/kyle-bartley/profil/spieler/67421
22,/ryan-manning/profil/spieler/262300
25,/omar-browne/profil/spieler/189523
28,/sergey-petrov/profil/spieler/102581
24,/ezequiel-unsain/profil/spieler/337600
27,/pele/profil/spieler/99189
36,/fabio-quagliarella/profil/spieler/22328
28,/mubarak-wakaso/profil/spieler/45639
30,/lionn/profil/spieler/75116
34,/gaston-bojanich/profil/spieler/357337
24,/rodrigo-de-paul/profil/spieler/255901
27,/bruno-martins-indi/profil/spieler/112052
32,/pierrick-capelle/profil/spieler/214532
26,/jonathan-osorio/profil/spieler/260807
23,/giorgi-papunashvili/profil/spieler/214259
24,/lukas-gugganig/profil/spieler/164142
35,/drew-moor/profil/spieler/39503
23,/julian-brandt/profil/spieler/187492
26,/denis-thomalla/profil/spieler/94030
33,/sergio-ramos/profil/spieler/25557
24,/giorgi-aburjania/profil/spieler/186848
26,/nathan-byrne/profil/spieler/121276
30,/faycal-fajr/profil/spieler/174344
18,/richonell-margaret/profil/spieler/465326
24,/guilherme-oliveira/profil/spieler/257369
35,/artem-rebrov/profil/spieler/15680
32,/yohan-benalouane/profil/spieler/50477
30,/milton-alvarez/profil/spieler/526527
31,/johan-blomberg/profil/spieler/107539
22,/diego-valoyes/profil/spieler/413983
33,/milan-lukac/profil/spieler/47024
28,/sven-michel/profil/spieler/186988
23,/jannik-dehm/profil/spieler/211671
33,/james-milner/profil/spieler/3333
33,/miguel-veloso/profil/spieler/43848
32,/cristian-ansaldi/profil/spieler/55854
23,/fabian-henriquez/profil/spieler/400611
23,/ruben-duarte/profil/spieler/177046
33,/nildo-petrolina/profil/spieler/158427
25,/emiliano-velazquez/profil/spieler/189458
30,/chris-basham/profil/spieler/52495
30,/maciej-wilusz/profil/spieler/42109
27,/gerard-moreno/profil/spieler/177467
30,/ciro-rius/profil/spieler/101875
34,/nikolay-markov/profil/spieler/89088
22,/zelimkhan-bakaev/profil/spieler/279242
29,/maxime-le-marchand/profil/spieler/60558
27,/john-guidetti/profil/spieler/98596
17,/antonis-aidonis/profil/spieler/405674
19,/assil-jaziri/profil/spieler/633398
33,/guilherme/profil/spieler/55369
29,/alfredo-morales/profil/spieler/58500
24,/claudio-falcao/profil/spieler/437566
38,/accioly/profil/spieler/56054
22,/carlos-soler/profil/spieler/372246
29,/dani-schahin/profil/spieler/58437
36,/miguel-linares/profil/spieler/95504
19,/danil-lipovoy/profil/spieler/462988
26,/shawn-parker/profil/spieler/89659
24,/alvaro-vadillo/profil/spieler/162074
28,/stefan-johansen/profil/spieler/62008
26,/iker-muniain/profil/spieler/54235
26,/daniel-heuer-fernandes/profil/spieler/84993
32,/jason-puncheon/profil/spieler/47995
22,/cian-harries/profil/spieler/319300
18,/oliver-skipp/profil/spieler/406638
20,/kylian-mbappe/profil/spieler/342229
23,/edimilson-fernandes/profil/spieler/247555
23,/kortney-hause/profil/spieler/233124
31,/minhoca/profil/spieler/194177
28,/gersom-klok/profil/spieler/56325
31,/georgios-tzavellas/profil/spieler/42942
24,/david-costas/profil/spieler/276111
24,/marcus-epps/profil/spieler/482646
31,/odil-akhmedov/profil/spieler/63606
38,/javier-gandolfi/profil/spieler/26242
22,/daniel-salloi/profil/spieler/321946
27,/chey-dunkley/profil/spieler/217094
26,/martin-hinteregger/profil/spieler/85789
22,/erik-holt/profil/spieler/510344
26,/tim-knipping/profil/spieler/185520
29,/ryad-boudebouz/profil/spieler/77826
31,/marek-hamsik/profil/spieler/38593
22,/luquinhas/profil/spieler/402825
35,/branislav-ivanovic/profil/spieler/36827
20,/florian-kruger/profil/spieler/317740
21,/cameron-carter-vickers/profil/spieler/341049
20,/lewis-walker/profil/spieler/430801
31,/rui-patricio/profil/spieler/45026
21,/magomed-elmurzaev/profil/spieler/450282
23,/ivan-arboleda/profil/spieler/260740
26,/alvaro-raton/profil/spieler/248551
31,/wesley-lautoa/profil/spieler/154199
22,/diogo-goncalves/profil/spieler/258015
31,/tomas-rincon/profil/spieler/75942
