link,search,results
/jonathan-de-guzman/profil/spieler/31067,Jonathan+de+Guzmán+Eintracht+Frankfurt,240000
/dario-benedetto/profil/spieler/92693,Darío+Benedetto+Boca+Juniors,679000
/marcelo-goiano/profil/spieler/248903,Marcelo+Goiano+Braga,2170000
/sergio-gil/profil/spieler/255994,Sergio+Gil+Lugo,5450000
/ramon-abila/profil/spieler/88049,Ramón+Ábila+Boca+Juniors,163000
/yohan-croizet/profil/spieler/195910,Yohan+Croizet+Sporting+Kansas+City,29300
/calogero-rizzuto/profil/spieler/93753,Calogero+Rizzuto+Erzgebirge+Aue,56000
/aleksandr-samedov/profil/spieler/15076,Aleksandr+Samedov+Krylya+Sovetov+Samara,27100
/darron-gibson/profil/spieler/42413,Darron+Gibson+Wigan,64000
/serhii-rybalka/profil/spieler/81649,Serhiy+Rybalka+Sivasspor,36300
/martin-chrien/profil/spieler/252712,Martin+Chrien+Santa+Clara,20300
/jorge-pulido/profil/spieler/67546,Jorge+Pulido+SD+Huesca,126000
/claudio-yacob/profil/spieler/45330,Claudio+Yacob+Nottingham+Forest,0
/nicolas-aguirre/profil/spieler/88166,Nicolás+Aguirre+Granada,3380000
/lautaro-gianetti/profil/spieler/225963,Lautaro+Gianetti+Velez+Sarsfield,34300
/bruno-ecuele-manga/profil/spieler/60990,Bruno+Ecuele+Manga+Cardiff,94600
/oliver-mcburnie/profil/spieler/298477,Oliver+McBurnie+Swansea,74000
/ferhat-kaplan/profil/spieler/93104,Ferhat+Kaplan+Antalyaspor,103000
/fallou-diagne/profil/spieler/82389,Fallou+Diagne+Konyaspor,56500
/aissa-mandi/profil/spieler/80293,Aissa+Mandi+Real+Betis,256000
/aaron-seydel/profil/spieler/187499,Aaron+Seydel+Holstein+Kiel,33900
/maximiliano-gomez/profil/spieler/396894,Maxi+Gómez+Celta+Vigo,655000
/yuri-gazinskiy/profil/spieler/159957,Yuri+Gazinskiy+FC+Krasnodar,39200
/nicolas-benezet/profil/spieler/164230,Nicolas+Benezet+Guingamp,131000
/john-goossens/profil/spieler/35527,John+Goossens+ADO+Den+Haag,120000
/ruud-boffin/profil/spieler/31336,Ruud+Boffin+Antalyaspor,40500
/tomas-hubocan/profil/spieler/63252,Tomas+Hubocan+Marseille,60500
/nick-kuipers/profil/spieler/159032,Nick+Kuipers+FC+Emmen,124000
/papiss-demba-cisse/profil/spieler/33952,Papiss+Demba+Cissé+Alanyaspor,45800
/ben-amos/profil/spieler/73472,Ben+Amos+Millwall,74000
/nikola-maras/profil/spieler/258475,Nikola+Maras+Chaves,46600
/yann-aurel-bisseck/profil/spieler/441986,Yann+Bisseck+Holstein+Kiel,17400
/yeray-alvarez/profil/spieler/255488,Yeray+Álvarez+Athletic+Bilbao,223000
/ivan-gomez/profil/spieler/459318,Iván+Gómez+Estudiantes,8710000
/iker-casillas/profil/spieler/3979,Iker+Casillas+FC+Porto,2570000
/maximilian-jansen/profil/spieler/149209,Maximilian+Jansen+Sandhausen,27700
/dominik-baumgartner/profil/spieler/206906,Dominik+Baumgartner+Bochum,70400
/niki-jackson/profil/spieler/544390,Niki+Jackson+Colorado+Rapids,280000
/mathias-suarez/profil/spieler/294895,Mathías+Suárez+Montpellier,173000
/nikola-stojiljkovic/profil/spieler/113504,Nikola+Stojiljkovic+Mallorca,21800
/jordan-teze/profil/spieler/364245,Jordan+Teze+PSV+Eindhoven,44600
/nikola-vukcevic/profil/spieler/151470,Nikola+Vukcevic+Levante,93100
/asier-illarramendi/profil/spieler/59344,Asier+Illarramendi+Real+Sociedad,271000
/claudio-marchisio/profil/spieler/44716,Claudio+Marchisio+Zenit+St.+Petersburg,57600
/iddrisu-baba/profil/spieler/442805,Idrissu+Baba+Mallorca,16500
/kristoffer-olsson/profil/spieler/193592,Kristoffer+Olsson+FC+Krasnodar,33900
