name,position,height,weight,team,pos_def,pref_side,sides
Ishak Belfodil,"Attacking Midfielder (Left, Right)",192.0,86.0,Hoffenheim,Midfielder,Left,2
Mauro Cerqueira,Defender (Left),181.0,74.0,Nacional,Defender,Left,1
Mário Rui,Defender (Left),170.0,67.0,Napoli,Defender,Left,1
Terence Kongolo,"Defender (Centre, Left)",188.0,70.0,Huddersfield,Defender,Centre,2
Pavel Yakovlev,Defender (Right),180.0,72.0,Krylya Sovetov Samara,Defender,Right,1
Nicola Sansone,"Attacking Midfielder (Left, Right)",175.0,68.0,Bologna,Midfielder,Left,2
Marc Cucurella,Midfielder (Left),175.0,67.0,Eibar,Midfielder,Left,1
Jan-Ingwer Callsen-Bracker,Defender (Centre),188.0,84.0,Augsburg,Defender,Centre,1
Clément Lenglet,Defender (Centre),186.0,81.0,Barcelona,Defender,Centre,1
Jonathan de Guzmán,"Midfielder (Centre, Left, Right)",173.0,70.0,Eintracht Frankfurt,Midfielder,Centre,3
Darío Benedetto,Forward,175.0,75.0,Boca Juniors,Forward,None,1
Marcelo Goiano,"Defender (Left, Right)",176.0,68.0,Braga,Defender,Left,2
Sergio Gil,Midfielder,179.0,74.0,Lugo,Midfielder,None,1
Ramón Ábila,Forward,175.0,84.0,Boca Juniors,Forward,None,1
Yohan Croizet,Midfielder (Centre),178.0,77.0,Sporting Kansas City,Midfielder,Centre,1
Calogero Rizzuto,Defender (Right),170.0,72.0,Erzgebirge Aue,Defender,Right,1
Aleksandr Samedov,"Attacking Midfielder (Centre, Right)",177.0,75.0,Krylya Sovetov Samara,Midfielder,Centre,2
Darron Gibson,Midfielder (Centre),183.0,90.0,Wigan,Midfielder,Centre,1
Serhiy Rybalka,Midfielder (Centre),176.0,68.0,Sivasspor,Midfielder,Centre,1
Martin Chrien,Midfielder (Centre),182.0,72.0,Santa Clara,Midfielder,Centre,1
Jorge Pulido,Defender (Centre),186.0,72.0,SD Huesca,Defender,Centre,1
Claudio Yacob,Defensive Midfielder (C),181.0,77.0,Nottingham Forest,Defensive Midfielder,None,1
Nicolás Aguirre,Defensive Midfielder (C),181.0,79.0,Granada,Defensive Midfielder,None,1
Lautaro Gianetti,Defender (Centre),184.0,79.0,Velez Sarsfield,Defender,Centre,1
Bruno Ecuele Manga,"Defender (Centre, Right)",186.0,76.0,Cardiff,Defender,Centre,2
Oliver McBurnie,"Attacking Midfielder (Centre, Left)",188.0,79.0,Swansea,Midfielder,Centre,2
Ferhat Kaplan,Goalkeeper,190.0,79.0,Antalyaspor,Goalkeeper,None,1
Fallou Diagne,"Defender (Centre, Right)",185.0,75.0,Konyaspor,Defender,Centre,2
Aissa Mandi,"Defender (Centre, Left, Right)",184.0,78.0,Real Betis,Defender,Centre,3
Aaron Seydel,Attacking Midfielder (Left),199.0,90.0,Holstein Kiel,Midfielder,Left,1
Maxi Gómez,Forward,186.0,91.0,Celta Vigo,Forward,None,1
Yuri Gazinskiy,Defensive Midfielder (C),184.0,75.0,FC Krasnodar,Defensive Midfielder,None,1
Nicolas Benezet,"Attacking Midfielder (Centre, Left, Right)",170.0,65.0,Guingamp,Midfielder,Centre,3
John Goossens,"Attacking Midfielder (Centre, Left, Right)",174.0,77.0,ADO Den Haag,Midfielder,Centre,3
Ruud Boffin,Goalkeeper,196.0,86.0,Antalyaspor,Goalkeeper,None,1
Tomas Hubocan,"Defender (Centre, Left, Right)",184.0,70.0,Marseille,Defender,Centre,3
Nick Kuipers,Defender (Centre),190.0,93.0,FC Emmen,Defender,Centre,1
Papiss Demba Cissé,Attacking Midfielder (Right),183.0,73.0,Alanyaspor,Midfielder,Right,1
Ben Amos,Goalkeeper,180.0,70.0,Millwall,Goalkeeper,None,1
Nikola Maras,Defender (Centre),189.0,79.0,Chaves,Defender,Centre,1
