name,position,height,weight,team,pos_def,pref_side,sides
Toño,Defender (Left),179.0,69.0,Levante,Defender,Left,1
Boubacar Kamara,"Defender (Centre, Left)",178.0,68.0,Marseille,Defender,Centre,2
Félix Eboa Eboa,"Defender (Centre, Right)",186.0,80.0,Guingamp,Defender,Centre,2
Molla Wagué,Defender (Centre),191.0,87.0,Nottingham Forest,Defender,Centre,1
Eric Dier,"Defender (Centre, Right)",188.0,88.0,Tottenham,Defender,Centre,2
Tate Schmitt,Forward,180.0,73.0,Real Salt Lake,Forward,None,1
Robert Leipertz,"Attacking Midfielder (Left, Right)",183.0,82.0,FC Heidenheim,Midfielder,Left,2
John Stiven Mendoza,"Attacking Midfielder (Centre, Left, Right)",172.0,70.0,Amiens,Midfielder,Centre,3
Arturo Mina,Defender (Centre),188.0,79.0,Yeni Malatyaspor,Defender,Centre,1
André Claro,"Attacking Midfielder (Centre, Left)",177.0,71.0,Boavista,Midfielder,Centre,2
Lucas Tousart,Defensive Midfielder (C),185.0,83.0,Lyon,Defensive Midfielder,None,1
Josué,"Midfielder (Centre, Right)",174.0,70.0,Akhisarspor,Midfielder,Centre,2
Alejandro Pozuelo,"Midfielder (Centre, Right)",170.0,63.0,Toronto FC,Midfielder,Centre,2
Sergio Floccari,Forward,180.0,80.0,SPAL 2013,Forward,None,1
Ionut Radu,Goalkeeper,188.0,70.0,Genoa,Goalkeeper,None,1
Abdou Traoré,"Attacking Midfielder (Centre, Left, Right)",172.0,64.0,Konyaspor,Midfielder,Centre,3
Marc-André ter Stegen,Goalkeeper,187.0,85.0,Barcelona,Goalkeeper,None,1
Damián Batallini,"Attacking Midfielder (Left, Right)",175.0,77.0,Argentinos Juniors,Midfielder,Left,2
Alireza Jahanbakhsh,"Attacking Midfielder (Centre, Left, Right)",180.0,76.0,Brighton,Midfielder,Centre,3
Ademola Lookman,"Attacking Midfielder (Centre, Left, Right)",174.0,78.0,Everton,Midfielder,Centre,3
Rajko Rotman,Defensive Midfielder (C),187.0,80.0,Akhisarspor,Defensive Midfielder,None,1
Michael Murillo,"Defender (Centre, Right)",183.0,73.0,New York Red Bulls,Defender,Centre,2
Platiny,Forward,178.0,71.0,Chaves,Forward,None,1
Kekuta Manneh,"Attacking Midfielder (Centre, Left, Right)",175.0,68.0,FC Cincinnati,Midfielder,Centre,3
Said Benrahma,"Attacking Midfielder (Left, Right)",172.0,67.0,Brentford,Midfielder,Left,2
Daryl Murphy,"Attacking Midfielder (Left, Right)",191.0,88.0,Nottingham Forest,Midfielder,Left,2
Anwar El Ghazi,"Attacking Midfielder (Left, Right)",189.0,90.0,Aston Villa,Midfielder,Left,2
Mickey van der Hart,Goalkeeper,188.0,82.0,PEC Zwolle,Goalkeeper,None,1
Jordan Morris,"Attacking Midfielder (Left, Right)",178.0,75.0,Seattle Sounders FC,Midfielder,Left,2
Clinton N'Jie,Attacking Midfielder (Left),175.0,68.0,Marseille,Midfielder,Left,1
Santiago Comesaña,Defensive Midfielder (C),184.0,75.0,Rayo Vallecano,Defensive Midfielder,None,1
Onur Ayik,"Attacking Midfielder (Left, Right)",183.0,77.0,Akhisarspor,Midfielder,Left,2
Rodrigo Battaglia,Midfielder (Centre),187.0,79.0,Sporting CP,Midfielder,Centre,1
Yiyoung Park,Defender (Right),186.0,72.0,St. Pauli,Defender,Right,1
Welinton,Defender (Centre),179.0,81.0,Alanyaspor,Defender,Centre,1
Antonio Mirante,Goalkeeper,193.0,79.0,Roma,Goalkeeper,None,1
Dominic Samuel,Forward,182.0,89.0,Blackburn,Forward,None,1
Dogukan Sinik,"Attacking Midfielder (Left, Right)",176.82833333333335,72.9825,Antalyaspor,Midfielder,Left,2
Mikhail Ignatov,Midfielder (Centre),184.0,74.0,Spartak Moscow,Midfielder,Centre,1
Orel Mangala,Defensive Midfielder (C),178.0,78.0,Hamburger SV,Defensive Midfielder,None,1
Nils Butzen,Defender (Right),179.0,68.0,Magdeburg,Defender,Right,1
Steffen Schäfer,Defender (Centre),189.0,82.0,Magdeburg,Defender,Centre,1
Luca Sangalli,Attacking Midfielder (Centre),167.0,74.0,Real Sociedad,Midfielder,Centre,1
Tommy Elphick,Defender (Centre),180.0,85.0,Aston Villa,Defender,Centre,1
Salvatore Sirigu,Goalkeeper,192.0,80.0,Torino,Goalkeeper,None,1
Ander Capa,Defender (Right),175.0,75.0,Athletic Bilbao,Defender,Right,1
Pablo Valcarce,Midfielder,172.0,70.0,Mallorca,Midfielder,None,1
Georgi Zotov,"Defender (Left, Right)",175.0,72.0,Krylya Sovetov Samara,Defender,Left,2
Christian Fernández,Defender (Left),182.0,77.0,Real Oviedo,Defender,Left,1
Djordje Mihailovic,Midfielder (Centre),178.0,69.0,Chicago Fire,Midfielder,Centre,1
Juan Foyth,Defender (Centre),179.0,69.0,Tottenham,Defender,Centre,1
Éder,"Attacking Midfielder (Centre, Left, Right)",180.0,72.0,Jiangsu Suning FC,Midfielder,Centre,3
Diogo Leite,Defender,188.0,82.0,FC Porto,Defender,None,1
Kyle Vassell,Attacking Midfielder (Left),183.0,78.0,Rotherham,Midfielder,Left,1
Kik Pierie,"Defender (Centre, Left)",183.0,75.0,SC Heerenveen,Defender,Centre,2
Richard Magyar,Defender (Centre),192.0,85.0,Greuther Fuerth,Defender,Centre,1
Arthur,Defensive Midfielder (C),171.0,73.0,Barcelona,Defensive Midfielder,None,1
Vincent Laurini,Defender (Right),173.0,72.0,Fiorentina,Defender,Right,1
Danilo Silva,"Defender (Centre, Right)",185.0,82.0,Los Angeles FC,Defender,Centre,2
Osvaldo Alonso,Defensive Midfielder (C),181.0,71.0,Minnesota United,Defensive Midfielder,None,1
Tobias Mohr,Midfielder (Left),183.0,78.0,Greuther Fuerth,Midfielder,Left,1
Hee-Chan Hwang,Attacking Midfielder (Left),177.0,77.0,Hamburger SV,Midfielder,Left,1
Lautaro Guzmán,Midfielder,176.82833333333335,72.9825,Talleres,Midfielder,None,1
Martin Skrtel,Defender (Centre),193.0,81.0,Fenerbahce,Defender,Centre,1
Julian Pollersbeck,Goalkeeper,195.0,87.0,Hamburger SV,Goalkeeper,None,1
Deni Milosevic,"Attacking Midfielder (Centre, Left, Right)",183.0,73.0,Konyaspor,Midfielder,Centre,3
Zé Luís,Forward,185.0,78.0,Spartak Moscow,Forward,None,1
Mathias Normann,Midfielder (Centre),179.0,75.0,FC Rostov,Midfielder,Centre,1
Timo Werner,Attacking Midfielder (Left),180.0,75.0,RasenBallsport Leipzig,Midfielder,Left,1
Ismael Quílez,Defender (Right),179.0,76.0,Aldosivi,Defender,Right,1
Beram Kayal,Defensive Midfielder (C),178.0,74.0,Brighton,Defensive Midfielder,None,1
Valter Birsa,"Midfielder (Centre, Left, Right)",184.0,83.0,Chievo,Midfielder,Centre,3
Alex Muyl,"Midfielder (Centre, Left, Right)",180.0,79.0,New York Red Bulls,Midfielder,Centre,3
Romain Genevois,"Defender (Centre, Right)",182.0,79.0,Caen,Defender,Centre,2
Mohamed Elneny,Defensive Midfielder (C),180.0,73.0,Arsenal,Defensive Midfielder,None,1
Tom Davies,Midfielder (Centre),180.0,70.0,Everton,Midfielder,Centre,1
Sam Vines,Defender,178.0,68.0,Colorado Rapids,Defender,None,1
Albert Rusnák,"Attacking Midfielder (Centre, Left, Right)",175.0,61.0,Real Salt Lake,Midfielder,Centre,3
Enrique Borja,Forward,185.0,84.0,Argentinos Juniors,Forward,None,1
Marcus Thuram,Attacking Midfielder (Left),192.0,88.0,Guingamp,Midfielder,Left,1
Robert Andrich,Defensive Midfielder (C),187.0,82.0,FC Heidenheim,Defensive Midfielder,None,1
Zac MacMath,Goalkeeper,188.0,80.0,Vancouver Whitecaps,Goalkeeper,None,1
Sven Braken,Forward,187.0,80.0,FC Emmen,Forward,None,1
Okechukwu Azubuike,Defensive Midfielder (C),170.0,70.0,Rizespor,Defensive Midfielder,None,1
Michael Brouwer,Goalkeeper,190.0,91.0,Heracles,Goalkeeper,None,1
Egor Baburin,Goalkeeper,184.0,78.0,Rubin Kazan,Goalkeeper,None,1
Sadio Mané,"Attacking Midfielder (Centre, Left, Right)",175.0,69.0,Liverpool,Midfielder,Centre,3
Kristófer Kristinsson,Forward,190.0,71.0,Willem II,Forward,None,1
Evens Joseph,Midfielder,176.82833333333335,72.9825,Caen,Midfielder,None,1
Lukas Kübler,Defender (Right),182.0,73.0,Freiburg,Defender,Right,1
Marvin Plattenhardt,Defender (Left),181.0,76.0,Hertha Berlin,Defender,Left,1
Emerson Hyndman,"Midfielder (Centre, Left)",170.0,61.0,Bournemouth,Midfielder,Centre,2
Darwin Quintero,Attacking Midfielder (Centre),164.0,61.0,Minnesota United,Midfielder,Centre,1
Manuel Castro,Midfielder,176.0,72.0,Estudiantes,Midfielder,None,1
Wilson Kamavuaka,Defensive Midfielder (C),188.0,81.0,Darmstadt,Defensive Midfielder,None,1
Jesé,"Attacking Midfielder (Left, Right)",178.0,72.0,Real Betis,Midfielder,Left,2
Marco D'Alessandro,"Midfielder (Left, Right)",173.0,71.0,Udinese,Midfielder,Left,2
Lucas Vázquez,Midfielder (Right),173.0,70.0,Real Madrid,Midfielder,Right,1
Yekta Kurtulus,Midfielder (Centre),172.0,70.0,Antalyaspor,Midfielder,Centre,1
Guti,Midfielder,177.0,74.0,Real Zaragoza,Midfielder,None,1
Tetteh,Defensive Midfielder (C),188.0,76.0,Dinamo Moscow,Defensive Midfielder,None,1
Franck Evina,Forward,177.0,72.9825,Holstein Kiel,Forward,None,1
Rubén Peña,Defender (Right),170.0,65.0,Eibar,Defender,Right,1
Keagan Dolly,"Attacking Midfielder (Centre, Left)",170.0,70.0,Montpellier,Midfielder,Centre,2
Lewis Wing,Attacking Midfielder (Centre),176.82833333333335,72.9825,Middlesbrough,Midfielder,Centre,1
Fede Cartabia,"Attacking Midfielder (Centre, Left, Right)",169.0,65.0,Deportivo La Coruna,Midfielder,Centre,3
Isaac Hayden,Defensive Midfielder (C),185.0,79.0,Newcastle United,Defensive Midfielder,None,1
Jack Butland,Goalkeeper,196.0,95.0,Stoke,Goalkeeper,None,1
Michael Dawson,Defender (Centre),188.0,76.0,Nottingham Forest,Defender,Centre,1
Ali Ghazal,Defender (Centre),180.0,72.0,Feirense,Defender,Centre,1
Martín Montoya,"Defender (Left, Right)",175.0,73.0,Brighton,Defender,Left,2
Cristian Pavón,"Attacking Midfielder (Left, Right)",167.0,65.0,Boca Juniors,Midfielder,Left,2
Álvaro Medrán,Midfielder (Centre),176.0,71.0,Rayo Vallecano,Midfielder,Centre,1
Samba Sow,Midfielder (Centre),185.0,71.0,Dinamo Moscow,Midfielder,Centre,1
Alejandro Romero Gamarra,"Attacking Midfielder (Centre, Left, Right)",171.0,67.0,New York Red Bulls,Midfielder,Centre,3
Peter Etebo,"Midfielder (Centre, Left)",172.0,70.0,Stoke,Midfielder,Centre,2
Khaled Adénon,Defender (Centre),180.0,72.0,Amiens,Defender,Centre,1
Michael Hefele,Defender (Centre),192.0,89.0,Nottingham Forest,Defender,Centre,1
Aatif Chahechouhe,"Attacking Midfielder (Centre, Left)",176.0,77.0,Rizespor,Midfielder,Centre,2
Ramon-Pascal Lundqvist,Midfielder (Centre),178.0,74.0,NAC Breda,Midfielder,Centre,1
Nouha Dicko,Forward,173.0,74.0,Hull,Forward,None,1
Mustafa Akbas,"Defender (Centre, Left)",188.0,81.0,Yeni Malatyaspor,Defender,Centre,2
Sérgio Marakis,Defensive Midfielder (C),178.0,70.0,Nacional,Defensive Midfielder,None,1
Cristian Chávez,Attacking Midfielder (Left),171.0,70.0,Aldosivi,Midfielder,Left,1
Lazar Markovic,"Attacking Midfielder (Centre, Left, Right)",175.0,65.0,Fulham,Midfielder,Centre,3
Maksim Semakin,Midfielder (Centre),180.0,78.0,FC Yenisey Krasnoyarsk,Midfielder,Centre,1
Zian Flemming,Attacking Midfielder (Centre),183.0,84.0,PEC Zwolle,Midfielder,Centre,1
Robert Strauß,Defender (Right),175.0,70.0,FC Heidenheim,Defender,Right,1
Toni Lato,Defender (Left),171.0,64.0,Valencia,Defender,Left,1
Jack Grealish,"Attacking Midfielder (Centre, Left)",175.0,68.0,Aston Villa,Midfielder,Centre,2
Tim Matavz,Forward,188.0,81.0,Vitesse,Forward,None,1
Albert Adomah,"Attacking Midfielder (Left, Right)",185.0,73.0,Aston Villa,Midfielder,Left,2
Kiki,Defender,181.0,76.0,Belenenses SAD,Defender,None,1
Jakob Nerwinski,Defender (Right),183.0,79.0,Vancouver Whitecaps,Defender,Right,1
Eljif Elmas,Midfielder (Centre),182.0,68.0,Fenerbahce,Midfielder,Centre,1
Dimitri Payet,"Midfielder (Centre, Left, Right)",175.0,77.0,Marseille,Midfielder,Centre,3
Sven Ulreich,Goalkeeper,192.0,87.0,Bayern Munich,Goalkeeper,None,1
Danilo Soares,Defender (Left),170.0,72.0,Bochum,Defender,Left,1
Robert Mühren,Attacking Midfielder (Centre),180.0,78.0,NAC Breda,Midfielder,Centre,1
Johnny Russell,"Attacking Midfielder (Left, Right)",177.0,70.0,Sporting Kansas City,Midfielder,Left,2
Henri Lansbury,Midfielder (Centre),183.0,78.0,Aston Villa,Midfielder,Centre,1
Brandon Servania,Midfielder,178.0,72.0,FC Dallas,Midfielder,None,1
Jailson,Defensive Midfielder (C),178.0,74.0,Fenerbahce,Defensive Midfielder,None,1
Britt Assombalonga,Forward,177.0,78.0,Middlesbrough,Forward,None,1
Conor Townsend,Defender (Left),168.0,62.0,West Bromwich Albion,Defender,Left,1
Ivan Markelov,"Attacking Midfielder (Centre, Left)",185.0,76.0,Anzhi Makhachkala,Midfielder,Centre,2
Marcelo,Defender (Centre),191.0,85.0,Lyon,Defender,Centre,1
Anton Shunin,Goalkeeper,190.0,83.0,Dinamo Moscow,Goalkeeper,None,1
Mikel San José,Defender (Centre),188.0,78.0,Athletic Bilbao,Defender,Centre,1
Jan Vertonghen,"Defender (Centre, Left)",189.0,87.0,Tottenham,Defender,Centre,2
Eric Miller,"Defender (Centre, Left, Right)",183.0,80.0,Minnesota United,Defender,Centre,3
Kyle Duncan,Defender (Right),178.0,68.0,New York Red Bulls,Defender,Right,1
Emmanuel Iyoha,Attacking Midfielder (Left),191.0,86.0,Erzgebirge Aue,Midfielder,Left,1
Rômulo,Defender (Right),178.0,72.0,Lazio,Defender,Right,1
Murat Cem Akpinar,Midfielder,176.82833333333335,72.9825,Trabzonspor,Midfielder,None,1
Luca Plogmann,Goalkeeper,188.0,78.0,Werder Bremen,Goalkeeper,None,1
Erwin Mulder,Goalkeeper,193.0,88.0,Swansea,Goalkeeper,None,1
David Juncà,Defender (Left),175.0,67.0,Celta Vigo,Defender,Left,1
Matías Caruzzo,Defender (Centre),183.0,78.0,Rosario Central,Defender,Centre,1
Vítor Gonçalves,Midfielder (Centre),174.0,68.0,Nacional,Midfielder,Centre,1
Markel Susaeta,"Midfielder (Left, Right)",179.0,63.0,Athletic Bilbao,Midfielder,Left,2
Brice Samba,Goalkeeper,186.0,79.0,Caen,Goalkeeper,None,1
Gerónimo Rulli,Goalkeeper,189.0,84.0,Real Sociedad,Goalkeeper,None,1
Andrej Kramaric,"Attacking Midfielder (Centre, Left, Right)",177.0,73.0,Hoffenheim,Midfielder,Centre,3
Anaitz Arbilla,"Defender (Centre, Left, Right)",178.0,76.0,Eibar,Defender,Centre,3
Alan,"Attacking Midfielder (Left, Right)",184.0,75.0,Tianjin Tianhai,Midfielder,Left,2
Benjamin Hübner,Defender (Centre),193.0,85.0,Hoffenheim,Defender,Centre,1
Kevin Lankford,"Attacking Midfielder (Left, Right)",186.0,81.0,St. Pauli,Midfielder,Left,2
Enis Hajri,"Defender (Centre, Right)",187.0,74.0,Duisburg,Defender,Centre,2
Steve Mandanda,Goalkeeper,185.0,82.0,Marseille,Goalkeeper,None,1
Raúl Navas,Defender (Centre),186.0,84.0,Real Sociedad,Defender,Centre,1
Adrien Thomasson,"Midfielder (Centre, Left, Right)",177.0,72.0,Strasbourg,Midfielder,Centre,3
Joshua Brenet,"Defender (Left, Right)",182.0,70.0,Hoffenheim,Defender,Left,2
Erick Pulgar,Defensive Midfielder (C),186.0,78.0,Bologna,Defensive Midfielder,None,1
Nick Rimando,Goalkeeper,176.0,84.0,Real Salt Lake,Goalkeeper,None,1
Lucas Villalba,Defender (Left),177.0,73.0,Aldosivi,Defender,Left,1
Simon Dawkins,"Attacking Midfielder (Centre, Left, Right)",178.0,73.0,Ipswich,Midfielder,Centre,3
Vitus Eicher,Goalkeeper,191.0,85.0,FC Heidenheim,Goalkeeper,None,1
Fabián Ruiz,"Attacking Midfielder (Centre, Left)",189.0,70.0,Napoli,Midfielder,Centre,2
Carlos Akapo,Defender (Left),179.0,70.0,SD Huesca,Defender,Left,1
Niltinho,"Attacking Midfielder (Left, Right)",175.0,68.0,Chaves,Midfielder,Left,2
Boris Tashchy,Attacking Midfielder (Centre),192.0,90.0,Duisburg,Midfielder,Centre,1
Aron Gunnarsson,Midfielder (Centre),178.0,70.0,Cardiff,Midfielder,Centre,1
William,Forward,179.0,74.0,Chaves,Forward,None,1
Toni Sunjic,Defender (Centre),193.0,88.0,Dinamo Moscow,Defender,Centre,1
Antonin Barak,Attacking Midfielder (Centre),190.0,86.0,Udinese,Midfielder,Centre,1
Callum Connolly,Defender (Right),183.0,70.0,Bolton,Defender,Right,1
Joe Gomez,"Defender (Centre, Left, Right)",188.0,77.0,Liverpool,Defender,Centre,3
Junio,Defender (Right),182.0,75.0,Rio Ave,Defender,Right,1
Elhadji Djibril Diaw,Defender,196.0,85.0,Angers,Defender,None,1
Florian Thauvin,"Attacking Midfielder (Centre, Left, Right)",179.0,70.0,Marseille,Midfielder,Centre,3
Miguel Luís,Midfielder (Centre),178.0,62.0,Sporting CP,Midfielder,Centre,1
Carlos Martínez,Defender (Right),189.0,79.0,Real Oviedo,Defender,Right,1
Yannis Ammour,Midfielder,182.0,70.0,Montpellier,Midfielder,None,1
Facundo Sánchez,Defender (Right),176.0,73.0,Estudiantes,Defender,Right,1
Leo Stulac,Midfielder (Centre),175.0,70.0,Parma Calcio 1913,Midfielder,Centre,1
Solly March,"Attacking Midfielder (Centre, Left, Right)",180.0,88.0,Brighton,Midfielder,Centre,3
Sebastian Griesbeck,Defensive Midfielder (C),189.0,84.0,FC Heidenheim,Defensive Midfielder,None,1
Lewis Dunk,Defender (Centre),192.0,88.0,Brighton,Defender,Centre,1
Bart Ramselaar,"Attacking Midfielder (Centre, Left)",178.0,74.0,PSV Eindhoven,Midfielder,Centre,2
Roman Tugarev,Midfielder,170.0,63.0,Lokomotiv Moscow,Midfielder,None,1
Vladimir Rykov,Defender (Centre),192.0,88.0,Dinamo Moscow,Defender,Centre,1
Greg Leigh,Defender (Left),180.0,73.0,NAC Breda,Defender,Left,1
Costinha,"Midfielder (Centre, Left, Right)",170.0,64.0,Chaves,Midfielder,Centre,3
Alex Meret,Goalkeeper,190.0,82.0,Napoli,Goalkeeper,None,1
João Carvalho,"Attacking Midfielder (Centre, Left)",172.0,67.0,Nottingham Forest,Midfielder,Centre,2
Ayoze Pérez,"Attacking Midfielder (Centre, Left, Right)",178.0,72.0,Newcastle United,Midfielder,Centre,3
Lukas Jutkiewicz,Forward,185.0,78.0,Birmingham,Forward,None,1
Mohammed Osman,Defensive Midfielder (C),183.0,75.0,Heracles,Defensive Midfielder,None,1
Jaakko Oksanen,Midfielder,176.82833333333335,72.9825,Brentford,Midfielder,None,1
Oualid El Hajjam,Defender (Right),181.0,73.0,Amiens,Defender,Right,1
Taleb Tawatha,Defender (Left),176.0,81.0,Eintracht Frankfurt,Defender,Left,1
Jonathas,Forward,190.0,81.0,Hannover 96,Forward,None,1
Moryke Fofana,"Attacking Midfielder (Left, Right)",178.0,76.0,Konyaspor,Midfielder,Left,2
Adrián Calello,Midfielder (Centre),177.0,80.0,Banfield,Midfielder,Centre,1
Daniel James,Attacking Midfielder (Left),170.0,76.0,Swansea,Midfielder,Left,1
Baris Ekincier,Forward,181.0,72.0,Bochum,Forward,None,1
Jack Robinson,"Defender (Centre, Left)",168.0,64.0,Nottingham Forest,Defender,Centre,2
Kevin Möhwald,"Attacking Midfielder (Centre, Right)",183.0,77.0,Werder Bremen,Midfielder,Centre,2
Christian Kouamé,Attacking Midfielder (Left),185.0,70.0,Genoa,Midfielder,Left,1
Mucahit Can Akcay,Forward,176.82833333333335,72.9825,Konyaspor,Forward,None,1
Mohamed Dräger,Defender (Right),178.0,72.0,Paderborn,Defender,Right,1
João Talocha,Defender (Left),180.0,75.0,Boavista,Defender,Left,1
Reto Ziegler,"Defender (Centre, Left)",183.0,79.0,FC Dallas,Defender,Centre,2
Massimo Gobbi,Defender (Left),183.0,79.0,Parma Calcio 1913,Defender,Left,1
Felix Wiedwald,Goalkeeper,190.0,82.0,Duisburg,Goalkeeper,None,1
Diogo Verdasca,Defender,185.0,81.0,Real Zaragoza,Defender,None,1
Handwalla Bwana,Attacking Midfielder (Left),175.0,65.0,Seattle Sounders FC,Midfielder,Left,1
Jefferson Montero,Midfielder (Left),173.0,70.0,West Bromwich Albion,Midfielder,Left,1
Paddy McNair,"Defender (Centre, Right)",183.0,72.0,Middlesbrough,Defender,Centre,2
Nicolai Müller,"Midfielder (Centre, Left, Right)",173.0,66.0,Hannover 96,Midfielder,Centre,3
Ignacio Piatti,"Attacking Midfielder (Centre, Left)",181.0,77.0,Montreal Impact,Midfielder,Centre,2
Gustavo Sauer,Attacking Midfielder (Right),181.0,72.0,Boavista,Midfielder,Right,1
Alan Ruiz,"Attacking Midfielder (Centre, Right)",183.0,74.0,Aldosivi,Midfielder,Centre,2
Facundo Medina,Defender (Left),181.0,76.0,Talleres,Defender,Left,1
Bernard Tekpetey,"Attacking Midfielder (Left, Right)",172.0,70.0,Paderborn,Midfielder,Left,2
Angel Rangel,Defender (Right),188.0,84.0,Queens Park Rangers,Defender,Right,1
Clemente,Forward,179.0,75.0,Santa Clara,Forward,None,1
Maximilian Mittelstädt,Defender (Left),180.0,71.0,Hertha Berlin,Defender,Left,1
Zé Manuel,"Attacking Midfielder (Left, Right)",178.0,65.0,Santa Clara,Midfielder,Left,2
Iago Aspas,"Attacking Midfielder (Centre, Right)",176.0,67.0,Celta Vigo,Midfielder,Centre,2
Antonino Barillà,Midfielder (Centre),180.0,76.0,Parma Calcio 1913,Midfielder,Centre,1
Issam Chebake,Defender (Right),175.0,71.0,Yeni Malatyaspor,Defender,Right,1
Dean Gerken,Goalkeeper,183.0,77.0,Ipswich,Goalkeeper,None,1
Joaquín Laso,"Defender (Centre, Right)",185.0,79.0,Velez Sarsfield,Defender,Centre,2
Alexander Anyukov,"Defender (Centre, Left, Right)",178.0,67.0,Zenit St. Petersburg,Defender,Centre,3
Havard Nielsen,"Attacking Midfielder (Centre, Left)",187.0,80.0,Duisburg,Midfielder,Centre,2
Osman Kakay,Defender (Right),180.0,72.9825,Queens Park Rangers,Defender,Right,1
Sebastian Ernst,"Attacking Midfielder (Centre, Left, Right)",179.0,68.0,Greuther Fuerth,Midfielder,Centre,3
Erick Gutiérrez,Midfielder (Centre),177.0,69.0,PSV Eindhoven,Midfielder,Centre,1
Idrissa Doumbia,Defensive Midfielder (C),186.0,79.0,Sporting CP,Defensive Midfielder,None,1
Dani Romera,Forward,175.0,72.0,Rayo Majadahonda,Forward,None,1
Leandro Paiva,Midfielder,160.0,50.0,Argentinos Juniors,Midfielder,None,1
Leon Bailey,"Midfielder (Left, Right)",178.0,79.0,Bayer Leverkusen,Midfielder,Left,2
Germán Herrera,Forward,181.0,84.0,Rosario Central,Forward,None,1
Thomas Delaney,Defensive Midfielder (C),182.0,71.0,Borussia Dortmund,Defensive Midfielder,None,1
Tristan Nydam,Midfielder (Centre),176.82833333333335,72.9825,Ipswich,Midfielder,Centre,1
Pavel Kaloshin,Defender (Centre),195.0,87.0,Anzhi Makhachkala,Defender,Centre,1
Kurt Zouma,"Defender (Centre, Right)",190.0,96.0,Everton,Defender,Centre,2
Yussuf Poulsen,Attacking Midfielder (Right),193.0,84.0,RasenBallsport Leipzig,Midfielder,Right,1
Lukas Hinterseer,Attacking Midfielder (Right),192.0,86.0,Bochum,Midfielder,Right,1
Sone Aluko,"Attacking Midfielder (Centre, Left, Right)",173.0,72.0,Beijing Renhe,Midfielder,Centre,3
Alexander Büttner,Defender (Left),174.0,75.0,Vitesse,Defender,Left,1
Alexandru Epureanu,Defender (Centre),189.0,76.0,Istanbul Basaksehir,Defender,Centre,1
Nahuel Arena,Defender,183.0,67.0,Godoy Cruz,Defender,None,1
Xisco Campos,Defender,180.0,77.0,Mallorca,Defender,None,1
Luis Robles,Goalkeeper,186.0,82.0,New York Red Bulls,Goalkeeper,None,1
Erik Zenga,Midfielder (Centre),181.0,76.0,Sandhausen,Midfielder,Centre,1
Martin Cranie,"Defender (Centre, Right)",183.0,78.0,Sheffield United,Defender,Centre,2
Driess Saddiki,Midfielder,179.0,70.0,Willem II,Midfielder,None,1
Aymeric Laporte,"Defender (Centre, Left)",191.0,86.0,ManCity,Defender,Centre,2
Takashi Inui,"Attacking Midfielder (Centre, Left, Right)",169.0,59.0,Deportivo Alaves,Midfielder,Centre,3
Richie Laryea,Midfielder,175.0,68.0,Toronto FC,Midfielder,None,1
Zanka,Defender (Centre),191.0,79.0,Huddersfield,Defender,Centre,1
Craig Noone,"Midfielder (Left, Right)",177.0,69.0,Bolton,Midfielder,Left,2
Dani Ceballos,"Midfielder (Centre, Left)",179.0,70.0,Real Madrid,Midfielder,Centre,2
Alexandre Mendy,Forward,185.0,94.0,Guingamp,Forward,None,1
Douglas Luiz,Midfielder (Centre),178.0,66.0,Girona,Midfielder,Centre,1
Borja Bastón,Forward,186.0,83.0,Deportivo Alaves,Forward,None,1
Marvin Ducksch,Forward,188.0,79.0,Fortuna Duesseldorf,Forward,None,1
Brent Kallman,Defender (Centre),188.0,86.0,Minnesota United,Defender,Centre,1
Marcelo Brozovic,"Midfielder (Centre, Right)",181.0,68.0,Inter,Midfielder,Centre,2
Casimir Ninga,"Attacking Midfielder (Left, Right)",186.0,81.0,Caen,Midfielder,Left,2
Kevin Gameiro,Forward,172.0,70.0,Valencia,Forward,None,1
Stijn Schaars,Defensive Midfielder (C),178.0,75.0,SC Heerenveen,Defensive Midfielder,None,1
Rodrigo Salinas,Forward,190.0,81.0,Velez Sarsfield,Forward,None,1
Alejo Montero,Midfielder,176.82833333333335,72.9825,Velez Sarsfield,Midfielder,None,1
Agustín Fontana,Forward,176.0,72.0,Banfield,Forward,None,1
Paul Baysse,"Defender (Centre, Right)",187.0,85.0,Caen,Defender,Centre,2
Oscar Cabezas,Defender (Centre),177.0,75.0,Rosario Central,Defender,Centre,1
Mo El Hankouri,Attacking Midfielder (Left),176.0,68.0,FC Groningen,Midfielder,Left,1
Andrew Hjulsager,Midfielder,175.0,73.0,Celta Vigo,Midfielder,None,1
Nuno Coelho,Defender (Centre),190.0,80.0,Chaves,Defender,Centre,1
Jay Chapman,"Attacking Midfielder (Centre, Right)",183.0,71.0,Toronto FC,Midfielder,Centre,2
Fousseni Diabaté,Attacking Midfielder (Right),175.0,60.0,Sivasspor,Midfielder,Right,1
Gustavo Hamer,Midfielder (Centre),168.0,61.0,PEC Zwolle,Midfielder,Centre,1
Tim Rieder,Defender (Right),186.0,77.0,Darmstadt,Defender,Right,1
Samir Handanovic,Goalkeeper,193.0,92.0,Inter,Goalkeeper,None,1
Juan Forlín,Defender (Centre),179.0,74.0,Real Oviedo,Defender,Centre,1
Lyanco,Defender (Centre),188.0,83.0,Bologna,Defender,Centre,1
Sebastien De Maio,Defender (Centre),190.0,90.0,Udinese,Defender,Centre,1
Joe Bennett,Defender (Left),183.0,74.0,Cardiff,Defender,Left,1
