link,age_group,days_miss,games_miss,miss_days_per_y
/yohan-croizet/profil/spieler/195910,27-30,183.0,26.0,16.636363636363637
/calogero-rizzuto/profil/spieler/93753,27-30,60.0,7.0,5.454545454545454
/aleksandr-samedov/profil/spieler/15076,31-34,93.0,10.0,5.166666666666667
/darron-gibson/profil/spieler/42413,31-34,763.0,104.0,50.86666666666667
/serhii-rybalka/profil/spieler/81649,27-30,17.0,3.0,1.3076923076923077
/martin-chrien/profil/spieler/252712,21-23,51.0,3.0,7.285714285714286
/jorge-pulido/profil/spieler/67546,27-30,60.0,11.0,5.0
/claudio-yacob/profil/spieler/45330,31-34,65.0,12.0,4.333333333333333
/nicolas-aguirre/profil/spieler/88166,27-30,183.0,26.0,15.25
/lautaro-gianetti/profil/spieler/225963,24-26,174.0,23.0,19.333333333333332
/bruno-ecuele-manga/profil/spieler/60990,27-30,184.0,26.0,13.142857142857142
/oliver-mcburnie/profil/spieler/298477,21-23,143.0,18.0,23.833333333333332
/ferhat-kaplan/profil/spieler/93104,27-30,21.0,3.0,1.5
/fallou-diagne/profil/spieler/82389,27-30,157.0,32.0,12.076923076923077
/aissa-mandi/profil/spieler/80293,27-30,80.0,11.0,7.2727272727272725
/aaron-seydel/profil/spieler/187499,21-23,338.0,33.0,48.285714285714285
/maximiliano-gomez/profil/spieler/396894,21-23,143.0,18.0,23.833333333333332
/yuri-gazinskiy/profil/spieler/159957,27-30,183.0,26.0,14.076923076923077
/nicolas-benezet/profil/spieler/164230,27-30,430.0,48.0,35.833333333333336
/john-goossens/profil/spieler/35527,27-30,815.0,61.0,58.214285714285715
/ruud-boffin/profil/spieler/31336,31-34,50.0,11.0,3.3333333333333335
/tomas-hubocan/profil/spieler/63252,31-34,207.0,41.0,12.176470588235293
/nick-kuipers/profil/spieler/159032,24-26,482.0,51.0,48.2
/papiss-demba-cisse/profil/spieler/33952,31-34,232.0,26.0,13.647058823529411
/ben-amos/profil/spieler/73472,27-30,183.0,26.0,14.076923076923077
/nikola-maras/profil/spieler/258475,21-23,45.0,7.0,6.428571428571429
/yann-aurel-bisseck/profil/spieler/441986,Sub_20,3.0,0.0,1.5
/yeray-alvarez/profil/spieler/255488,24-26,294.0,43.0,36.75
/ivan-gomez/profil/spieler/459318,21-23,143.0,18.0,23.833333333333332
/iker-casillas/profil/spieler/3979,Plus_35,77.0,15.0,3.6666666666666665
/maximilian-jansen/profil/spieler/149209,24-26,573.0,68.0,63.666666666666664
/dominik-baumgartner/profil/spieler/206906,21-23,589.0,82.0,98.16666666666667
/niki-jackson/profil/spieler/544390,21-23,143.0,18.0,20.428571428571427
/mathias-suarez/profil/spieler/294895,21-23,17.0,3.0,2.8333333333333335
/nikola-stojiljkovic/profil/spieler/113504,24-26,77.0,13.0,7.7
/jordan-teze/profil/spieler/364245,Sub_20,73.0,8.0,24.333333333333332
/nikola-vukcevic/profil/spieler/151470,27-30,56.0,7.0,5.090909090909091
/asier-illarramendi/profil/spieler/59344,27-30,199.0,30.0,15.307692307692308
/claudio-marchisio/profil/spieler/44716,31-34,476.0,55.0,28.0
/iddrisu-baba/profil/spieler/442805,21-23,143.0,18.0,20.428571428571427
/kristoffer-olsson/profil/spieler/193592,21-23,136.0,14.0,19.428571428571427
/ilzat-akhmetov/profil/spieler/334440,21-23,43.0,6.0,8.6
/lucas-digne/profil/spieler/126664,24-26,79.0,19.0,8.777777777777779
/ravanelli/profil/spieler/390370,21-23,204.0,7.0,40.8
/lionel-messi/profil/spieler/28003,31-34,200.0,34.0,13.333333333333334
/raul-albiol/profil/spieler/15452,31-34,219.0,43.0,12.882352941176471
/rodrigo-brana/profil/spieler/56001,Plus_35,34.0,5.0,1.4166666666666667
/josh-sargent/profil/spieler/393325,Sub_20,73.0,8.0,24.333333333333332
/gonzalo-castellani/profil/spieler/87840,31-34,220.0,31.0,14.666666666666666
/dominik-kohr/profil/spieler/118847,24-26,77.0,14.0,8.555555555555555
/timur-zhamaletdinov/profil/spieler/315557,21-23,34.0,1.0,6.8
/pawel-jaroszynski/profil/spieler/287600,24-26,162.0,23.0,20.25
/rani-khedira/profil/spieler/124410,24-26,179.0,23.0,19.88888888888889
/lisandro-martinez/profil/spieler/480762,21-23,143.0,18.0,28.6
/ahmed-ildiz/profil/spieler/226169,21-23,143.0,18.0,23.833333333333332
/erick-cabaco/profil/spieler/302991,24-26,55.0,10.0,6.875
/salih-dursun/profil/spieler/176961,27-30,451.0,66.0,41.0
/rouwen-hennings/profil/spieler/16311,31-34,131.0,19.0,8.733333333333333
/javier-manquillo/profil/spieler/162029,24-26,54.0,12.0,6.0
/vincent-manceau/profil/spieler/83132,27-30,183.0,26.0,14.076923076923077
/adis-jahovic/profil/spieler/98536,31-34,10.0,1.0,0.625
/tom-carroll/profil/spieler/121279,24-26,201.0,18.0,20.1
/jonathan-biabiany/profil/spieler/45567,31-34,220.0,31.0,14.666666666666666
/nahuel-molina/profil/spieler/424042,21-23,143.0,18.0,28.6
/jonas-martin/profil/spieler/127142,27-30,80.0,9.0,6.153846153846154
/marlon-ritter/profil/spieler/151636,24-26,100.0,12.0,12.5
/ayoub-el-kaabi/profil/spieler/521127,24-26,174.0,23.0,19.333333333333332
/adam-smith/profil/spieler/61841,27-30,201.0,26.0,16.75
/chris-lowe/profil/spieler/55125,27-30,237.0,26.0,16.928571428571427
/sem-steijn/profil/spieler/593519,Sub_20,73.0,8.0,73.0
/alex-telles/profil/spieler/255755,24-26,174.0,23.0,17.4
/jorrit-hendrix/profil/spieler/205004,24-26,260.0,29.0,32.5
/marco-asensio/profil/spieler/296622,21-23,55.0,14.0,7.857142857142857
/timo-baumgartl/profil/spieler/187491,21-23,208.0,26.0,29.714285714285715
/javi-fuego/profil/spieler/56134,Plus_35,363.0,57.0,19.105263157894736
/joao-teixeira/profil/spieler/182710,24-26,286.0,39.0,31.77777777777778
/facundo-piriz/profil/spieler/148607,27-30,83.0,16.0,6.384615384615385
/younes-namli/profil/spieler/227039,24-26,261.0,26.0,32.625
/arturo-calabresi/profil/spieler/240897,21-23,143.0,18.0,20.428571428571427
/niklas-sule/profil/spieler/166601,21-23,143.0,18.0,20.428571428571427
/kyle-bartley/profil/spieler/67421,27-30,573.0,89.0,52.09090909090909
/ryan-manning/profil/spieler/262300,21-23,28.0,4.0,4.666666666666667
/omar-browne/profil/spieler/189523,24-26,174.0,23.0,19.333333333333332
/sergey-petrov/profil/spieler/102581,27-30,396.0,47.0,33.0
/ezequiel-unsain/profil/spieler/337600,24-26,45.0,5.0,5.625
/pele/profil/spieler/99189,27-30,183.0,26.0,16.636363636363637
/fabio-quagliarella/profil/spieler/22328,Plus_35,231.0,42.0,11.55
/mubarak-wakaso/profil/spieler/45639,27-30,81.0,16.0,6.75
/lionn/profil/spieler/75116,27-30,147.0,22.0,10.5
/gaston-bojanich/profil/spieler/357337,31-34,220.0,31.0,12.222222222222221
/rodrigo-de-paul/profil/spieler/255901,24-26,174.0,23.0,21.75
/bruno-martins-indi/profil/spieler/112052,27-30,105.0,15.0,9.545454545454545
/pierrick-capelle/profil/spieler/214532,31-34,184.0,23.0,11.5
/jonathan-osorio/profil/spieler/260807,24-26,20.0,3.0,2.0
/giorgi-papunashvili/profil/spieler/214259,21-23,206.0,22.0,29.428571428571427
/lukas-gugganig/profil/spieler/164142,24-26,174.0,23.0,21.75
/drew-moor/profil/spieler/39503,Plus_35,465.0,60.0,24.473684210526315
/julian-brandt/profil/spieler/187492,21-23,143.0,18.0,20.428571428571427
/denis-thomalla/profil/spieler/94030,24-26,240.0,25.0,24.0
/sergio-ramos/profil/spieler/25557,31-34,203.0,35.0,11.941176470588236
/giorgi-aburjania/profil/spieler/186848,24-26,154.0,23.0,19.25
/nathan-byrne/profil/spieler/121276,24-26,174.0,23.0,17.4
/faycal-fajr/profil/spieler/174344,27-30,183.0,26.0,13.071428571428571
/richonell-margaret/profil/spieler/465326,Sub_20,73.0,8.0,36.5
/guilherme-oliveira/profil/spieler/257369,24-26,174.0,23.0,21.75
/artem-rebrov/profil/spieler/15680,Plus_35,735.0,56.0,38.68421052631579
/yohan-benalouane/profil/spieler/50477,31-34,210.0,18.0,13.125
/milton-alvarez/profil/spieler/526527,27-30,183.0,26.0,13.071428571428571
/johan-blomberg/profil/spieler/107539,31-34,220.0,31.0,14.666666666666666
/diego-valoyes/profil/spieler/413983,21-23,143.0,18.0,23.833333333333332
/milan-lukac/profil/spieler/47024,31-34,99.0,21.0,5.823529411764706
/sven-michel/profil/spieler/186988,27-30,316.0,55.0,26.333333333333332
/jannik-dehm/profil/spieler/211671,21-23,143.0,18.0,20.428571428571427
/james-milner/profil/spieler/3333,31-34,116.0,18.0,6.823529411764706
/miguel-veloso/profil/spieler/43848,31-34,302.0,46.0,17.764705882352942
/cristian-ansaldi/profil/spieler/55854,31-34,335.0,53.0,20.9375
/fabian-henriquez/profil/spieler/400611,21-23,143.0,18.0,20.428571428571427
/ruben-duarte/profil/spieler/177046,21-23,97.0,7.0,13.857142857142858
/nildo-petrolina/profil/spieler/158427,31-34,243.0,33.0,14.294117647058824
/emiliano-velazquez/profil/spieler/189458,24-26,130.0,22.0,14.444444444444445
/chris-basham/profil/spieler/52495,27-30,51.0,9.0,3.642857142857143
/maciej-wilusz/profil/spieler/42109,27-30,220.0,22.0,15.714285714285714
/gerard-moreno/profil/spieler/177467,27-30,56.0,7.0,5.090909090909091
/ciro-rius/profil/spieler/101875,27-30,183.0,26.0,13.071428571428571
/nikolay-markov/profil/spieler/89088,31-34,220.0,31.0,12.222222222222221
/zelimkhan-bakaev/profil/spieler/279242,21-23,143.0,18.0,23.833333333333332
/maxime-le-marchand/profil/spieler/60558,27-30,101.0,17.0,7.769230769230769
/john-guidetti/profil/spieler/98596,27-30,474.0,83.0,43.09090909090909
/antonis-aidonis/profil/spieler/405674,Sub_20,73.0,8.0,73.0
