link,search,results,res_stand
/max-clark/profil/spieler/183291,Max+Clark+Vitesse,1290000.0,0.12839152983357022
/sergio-postigo/profil/spieler/158791,Sergio+Postigo+Levante,173000.0,-0.19283997697780916
/stanislav-iljutcenko/profil/spieler/191292,Stanislav+Iljutcenko+Duisburg,67900.0,-0.22306507220240718
/ivan-marcone/profil/spieler/90451,Iván+Marcone+Boca+Juniors,183000.0,-0.18996413537699108
/florent-mollet/profil/spieler/222859,Florent+Mollet+Montpellier,190000.0,-0.18795104625641842
/juanpe/profil/spieler/115333,Juanpe+Girona,196000.0,-0.18622554129592758
/alban-lafont/profil/spieler/357117,Alban+Lafont+Fiorentina,112000.0,-0.21038261074279943
/bruno-viana/profil/spieler/411838,Bruno+Viana+Braga,7860000.0,2.017819461571048
/emil-audero/profil/spieler/256339,Emil+Audero+Sampdoria,119000.0,-0.2083695216222268
/christian-gentner/profil/spieler/19112,Christian+Gentner+VfB+Stuttgart,245000.0,-0.172133917451919
/jordan-archer/profil/spieler/177952,Jordan+Archer+Millwall,169000.0,-0.1939903136181364
/afonso-figueiredo/profil/spieler/237000,Afonso+Figueiredo+Rio+Ave,300000.0,-0.15631678864741957
/everton-luiz/profil/spieler/75076,Everton+Luiz+Real+Salt+Lake,180000.0,-0.1908268878572365
/trent-alexander-arnold/profil/spieler/314353,Trent+Alexander-Arnold+Liverpool,5430000.0,1.3189899525722546
/dominique-badji/profil/spieler/354840,Dominique+Badji+FC+Dallas,46400.0,-0.22924813164416605
/shkodran-mustafi/profil/spieler/88590,Shkodran+Mustafi+Arsenal,1640000.0,0.22904598586220296
/lazar-rosic/profil/spieler/198053,Lazar+Rosic+Nacional,27500.0,-0.2346834722697122
/matheus-cunha/profil/spieler/517894,Matheus+Cunha+RasenBallsport+Leipzig,206000.0,-0.1833496996951095
/orji-okwonkwo/profil/spieler/401935,Orji+Okwonkwo+Montreal+Impact,71100.0,-0.22214480289014538
/gwion-edwards/profil/spieler/192766,Gwion+Edwards+Ipswich,34600.0,-0.23264162473313138
/abdullah-durak/profil/spieler/82713,Abdullah+Durak+Rizespor,123000.0,-0.20721918498189956
/ricardo-ryller/profil/spieler/349443,Ricardo+Ryller+Braga,29200.0,-0.23419457919757314
/elson-hooi/profil/spieler/229228,Elson+Hooi+ADO+Den+Haag,45500.0,-0.22950695738823967
/evgeni-chernov/profil/spieler/187024,Evgeni+Chernov+FC+Rostov,31200.0,-0.2336194108774095
/warner-hahn/profil/spieler/111180,Warner+Hahn+SC+Heerenveen,94500.0,-0.2154153335442311
/alex-blanco/profil/spieler/328914,Álex+Blanco+Deportivo+Alaves,789000.0,-0.015688134367415525
/julian-gressel/profil/spieler/229640,Julian+Gressel+Atlanta+United,110000.0,-0.21095777906296306
/domenico-criscito/profil/spieler/44136,Domenico+Criscito+Genoa,126000.0,-0.20635643250165414
/alexander-milosevic/profil/spieler/171376,Alexander+Milosevic+Nottingham+Forest,91200.0,-0.21636436127250105
/jordan-lefort/profil/spieler/192492,Jordan+Lefort+Amiens,78000.0,-0.2201604721855809
/fernando-zampedri/profil/spieler/104006,Fernando+Zampedri+Rosario+Central,113000.0,-0.21009502658271764
/deklan-wynne/profil/spieler/298228,Deklan+Wynne+Colorado+Rapids,39100.0,-0.23134749601276322
/jordan-henderson/profil/spieler/61651,Jordan+Henderson+Liverpool,9840000.0,2.5872360985330274
/kamil-zakirov/profil/spieler/494353,Kamil+Zakirov+Anzhi+Makhachkala,30200.0,-0.23390699503749132
/niko-giesselmann/profil/spieler/72792,Niko+Gießelmann+Fortuna+Duesseldorf,80000.0,-0.2195853038654173
/thomas-roberts/profil/spieler/513967,Thomas+Roberts+FC+Dallas,4890000.0,1.1636945061280783
/jan-zamburek/profil/spieler/487924,Jan+Zamburek+Brentford,4660.0,-0.2412518944859807
/robin-bormuth/profil/spieler/283286,Robin+Bormuth+Fortuna+Duesseldorf,53100.0,-0.22732131777161793
/jordan-torunarigha/profil/spieler/227110,Jordan+Torunarigha+Hertha+Berlin,133000.0,-0.20434334338108148
/mile-jedinak/profil/spieler/28336,Mile+Jedinak+Aston+Villa,152000.0,-0.19887924433952714
/tyrone-mings/profil/spieler/253677,Tyrone+Mings+Aston+Villa,149000.0,-0.19974199681977256
/john-mcginn/profil/spieler/193116,John+McGinn+Aston+Villa,186000.0,-0.18910138289674566
/diogo-jota/profil/spieler/340950,Diogo+Jota+Wolverhampton+Wanderers,269000.0,-0.1652318976099556
/omir-fernandez/profil/spieler/467271,Omir+Fernandez+New+York+Red+Bulls,40400.0,-0.2309736366046569
/gonzalo-escalante/profil/spieler/266795,Gonzalo+Escalante+Eibar,189000.0,-0.18823863041650024
/nicolas-blandi/profil/spieler/153022,Nicolás+Blandi+San+Lorenzo,273000.0,-0.16408156096962837
/danny-bakker/profil/spieler/250440,Danny+Bakker+ADO+Den+Haag,208000.0,-0.1827745313749459
/charles/profil/spieler/154059,Charles+Eibar,1800000.0,0.2750594514752922
/leandro-fernandez/profil/spieler/131840,Leandro+Fernández+Velez+Sarsfield,469000.0,-0.10771506559359403
/igor-akinfeev/profil/spieler/15570,Igor+Akinfeev+CSKA+Moscow,158000.0,-0.19715373937903627
/andre-shinyashiki/profil/spieler/636331,Andre+Shinyashiki+Colorado+Rapids,18100.0,-0.2373867633744812
/jake-cooper/profil/spieler/243603,Jake+Cooper+Millwall,128000.0,-0.2057812641814905
/neymar/profil/spieler/68290,Neymar+Paris+Saint-Germain,25200000.0,7.004528797389597
/pierre-emerick-aubameyang/profil/spieler/58864,Pierre-Emerick+Aubameyang+Arsenal,10700000.0,2.834558476203382
/serdar-dursun/profil/spieler/80059,Serdar+Dursun+Darmstadt,69800.0,-0.22251866229825173
/valon-behrami/profil/spieler/21905,Valon+Behrami+Udinese,150000.0,-0.19945441265969074
/cristian-herrera/profil/spieler/237617,Cristian+Herrera+Lugo,5540000.0,1.3506242101812536
/kalindi/profil/spieler/379377,Kalindi+Nacional,56800.0,-0.22625725637931524
/lorenzo-tonelli/profil/spieler/111347,Lorenzo+Tonelli+Sampdoria,160000.0,-0.19657857105887266
/enzo-zidane/profil/spieler/106825,Enzo+Zidane+Rayo+Majadahonda,88100.0,-0.21725587216875464
/kevin-trapp/profil/spieler/45672,Kevin+Trapp+Eintracht+Frankfurt,377000.0,-0.13417280832112036
/serhou-guirassy/profil/spieler/270541,Serhou+Guirassy+Amiens,20900.0,-0.23658152772625213
/kerem-demirbay/profil/spieler/125858,Kerem+Demirbay+Hoffenheim,383000.0,-0.13244730336062951
/bulent-cevahir/profil/spieler/147518,Bulent+Cevahir+Yeni+Malatyaspor,36500.0,-0.23209521482897594
/juan-aguilera/profil/spieler/75820,Juan+Aguilera+SD+Huesca,117000.0,-0.2089446899423904
/josete/profil/spieler/77037,Josete+Lugo,54500.0,-0.22691869994750338
/moreno-rutten/profil/spieler/187296,Moreno+Rutten+VVV-Venlo,40800.0,-0.23085860294062416
/jeff-attinella/profil/spieler/179323,Jeff+Attinella+Portland+Timbers,39700.0,-0.23117494551671414
/ozan-kabak/profil/spieler/361260,Ozan+Kabak+VfB+Stuttgart,1130000.0,0.08237806422048095
/laszlo-benes/profil/spieler/243188,László+Bénes+Holstein+Kiel,73500.0,-0.22145460090594904
/ishak-belfodil/profil/spieler/111039,Ishak+Belfodil+Hoffenheim,242000.0,-0.17299666993216442
/mauro-cerqueira/profil/spieler/352847,Mauro+Cerqueira+Nacional,1410000.0,0.16290162904338715
/mario-rui/profil/spieler/87884,Mário+Rui+Napoli,8880000.0,2.3111553048544917
/terence-kongolo/profil/spieler/152651,Terence+Kongolo+Huddersfield,136000.0,-0.20348059090083606
/pavel-yakovlev/profil/spieler/63170,Pavel+Yakovlev+Krylya+Sovetov+Samara,27300.0,-0.23474098910172855
/nicola-sansone/profil/spieler/82048,Nicola+Sansone+Bologna,442000.0,-0.11547983791580285
/marc-cucurella/profil/spieler/284857,Marc+Cucurella+Eibar,116000.0,-0.20923227410247222
/jan-ingwer-callsen-bracker/profil/spieler/3851,Jan-Ingwer+Callsen-Bracker+Augsburg,59200.0,-0.2255670543951189
/clement-lenglet/profil/spieler/182904,Clément+Lenglet+Barcelona,784000.0,-0.017126055167824564
/jonathan-de-guzman/profil/spieler/31067,Jonathan+de+Guzmán+Eintracht+Frankfurt,240000.0,-0.17357183825232803
/dario-benedetto/profil/spieler/92693,Darío+Benedetto+Boca+Juniors,679000.0,-0.04732239197641439
/marcelo-goiano/profil/spieler/248903,Marcelo+Goiano+Braga,2170000.0,0.3814655907055611
/sergio-gil/profil/spieler/255994,Sergio+Gil+Lugo,5450000.0,1.3247416357738908
/ramon-abila/profil/spieler/88049,Ramón+Ábila+Boca+Juniors,163000.0,-0.19571581857862724
/yohan-croizet/profil/spieler/195910,Yohan+Croizet+Sporting+Kansas+City,29300.0,-0.23416582078156495
/calogero-rizzuto/profil/spieler/93753,Calogero+Rizzuto+Erzgebirge+Aue,56000.0,-0.22648732370738067
/aleksandr-samedov/profil/spieler/15076,Aleksandr+Samedov+Krylya+Sovetov+Samara,27100.0,-0.23479850593374493
/darron-gibson/profil/spieler/42413,Darron+Gibson+Wigan,64000.0,-0.22418665042672623
/serhii-rybalka/profil/spieler/81649,Serhiy+Rybalka+Sivasspor,36300.0,-0.2321527316609923
/martin-chrien/profil/spieler/252712,Martin+Chrien+Santa+Clara,20300.0,-0.2367540782223012
/jorge-pulido/profil/spieler/67546,Jorge+Pulido+SD+Huesca,126000.0,-0.20635643250165414
/claudio-yacob/profil/spieler/45330,Claudio+Yacob+Nottingham+Forest,52450.0,-0.2275082474756711
/nicolas-aguirre/profil/spieler/88166,Nicolás+Aguirre+Granada,3380000.0,0.7294424244045485
/lautaro-gianetti/profil/spieler/225963,Lautaro+Gianetti+Velez+Sarsfield,34300.0,-0.23272789998115592
/bruno-ecuele-manga/profil/spieler/60990,Bruno+Ecuele+Manga+Cardiff,94600.0,-0.2153865751282229
/oliver-mcburnie/profil/spieler/298477,Oliver+McBurnie+Swansea,74000.0,-0.22131080882590815
/ferhat-kaplan/profil/spieler/93104,Ferhat+Kaplan+Antalyaspor,103000.0,-0.21297086818353572
/fallou-diagne/profil/spieler/82389,Fallou+Diagne+Konyaspor,56500.0,-0.22634353162733978
/aissa-mandi/profil/spieler/80293,Aissa+Mandi+Real+Betis,256000.0,-0.1689704916910191
/aaron-seydel/profil/spieler/187499,Aaron+Seydel+Holstein+Kiel,33900.0,-0.23284293364518863
/maximiliano-gomez/profil/spieler/396894,Maxi+Gómez+Celta+Vigo,655000.0,-0.054224411818377775
/yuri-gazinskiy/profil/spieler/159957,Yuri+Gazinskiy+FC+Krasnodar,39200.0,-0.23131873759675506
/nicolas-benezet/profil/spieler/164230,Nicolas+Benezet+Guingamp,131000.0,-0.2049185117012451
/john-goossens/profil/spieler/35527,John+Goossens+ADO+Den+Haag,120000.0,-0.20808193746214498
/ruud-boffin/profil/spieler/31336,Ruud+Boffin+Antalyaspor,40500.0,-0.2309448781886487
/tomas-hubocan/profil/spieler/63252,Tomas+Hubocan+Marseille,60500.0,-0.22519319498701254
/nick-kuipers/profil/spieler/159032,Nick+Kuipers+FC+Emmen,124000.0,-0.20693160082181775
/papiss-demba-cisse/profil/spieler/33952,Papiss+Demba+Cissé+Alanyaspor,45800.0,-0.22942068214021513
/ben-amos/profil/spieler/73472,Ben+Amos+Millwall,74000.0,-0.22131080882590815
/nikola-maras/profil/spieler/258475,Nikola+Maras+Chaves,46600.0,-0.22919061481214967
/yann-aurel-bisseck/profil/spieler/441986,Yann+Bisseck+Holstein+Kiel,17400.0,-0.23758807228653847
/yeray-alvarez/profil/spieler/255488,Yeray+Álvarez+Athletic+Bilbao,223000.0,-0.17846076897371876
/ivan-gomez/profil/spieler/459318,Iván+Gómez+Estudiantes,8710000.0,2.2622659976405846
/iker-casillas/profil/spieler/3979,Iker+Casillas+FC+Porto,2570000.0,0.4964992547382842
/maximilian-jansen/profil/spieler/149209,Maximilian+Jansen+Sandhausen,27700.0,-0.23462595543769585
/dominik-baumgartner/profil/spieler/206906,Dominik+Baumgartner+Bochum,70400.0,-0.22234611180220265
/niki-jackson/profil/spieler/544390,Niki+Jackson+Colorado+Rapids,280000.0,-0.16206847184905573
/mathias-suarez/profil/spieler/294895,Mathías+Suárez+Montpellier,173000.0,-0.19283997697780916
/nikola-stojiljkovic/profil/spieler/113504,Nikola+Stojiljkovic+Mallorca,21800.0,-0.2363227019821785
/jordan-teze/profil/spieler/364245,Jordan+Teze+PSV+Eindhoven,44600.0,-0.2297657831323133
/nikola-vukcevic/profil/spieler/151470,Nikola+Vukcevic+Levante,93100.0,-0.2158179513683456
/asier-illarramendi/profil/spieler/59344,Asier+Illarramendi+Real+Sociedad,271000.0,-0.164656729289792
/claudio-marchisio/profil/spieler/44716,Claudio+Marchisio+Zenit+St.+Petersburg,57600.0,-0.2260271890512498
/iddrisu-baba/profil/spieler/442805,Idrissu+Baba+Mallorca,16500.0,-0.2378468980306121
/kristoffer-olsson/profil/spieler/193592,Kristoffer+Olsson+FC+Krasnodar,33900.0,-0.23284293364518863
