league,link,teams
Super Lig (TUR),/galatasaray-istanbul/startseite/verein/141,Galatasaray SK
Super Lig (TUR),/istanbul-buyuksehir-belediyespor/startseite/verein/6890,Istanbul Basaksehir
Super Lig (TUR),/trabzonspor/startseite/verein/449,Trabzonspor
Serie A (ITA),/ac-mailand/startseite/verein/5,AC Milan
Serie A (ITA),/as-rom/startseite/verein/12,AS Roma
Serie A (ITA),/ac-florenz/startseite/verein/430,ACF Fiorentina
Serie A (ITA),/fc-turin/startseite/verein/416,Torino FC
Serie A (ITA),/us-sassuolo/startseite/verein/6574,US Sassuolo
Serie A (ITA),/udinese-calcio/startseite/verein/410,Udinese Calcio
Serie A (ITA),/cagliari-calcio/startseite/verein/1390,Cagliari Calcio
Serie A (ITA),/fc-genua-1893/startseite/verein/252,Genoa CFC
Serie A (ITA),/fc-bologna/startseite/verein/1025,Bologna FC 1909
Serie A (ITA),/fc-parma/startseite/verein/130,Parma Calcio 1913
Serie A (ITA),/spal-2013/startseite/verein/2722,SPAL
Serie A (ITA),/fc-empoli/startseite/verein/749,FC Empoli
Serie A (ITA),/frosinone-calcio/startseite/verein/8970,Frosinone Calcio
Serie A (ITA),/chievo-verona/startseite/verein/862,Chievo Verona
Serie A (ITA),/uc-sampdoria/startseite/verein/1038,UC Sampdoria
Serie A (ITA),/atalanta-bergamo/startseite/verein/800,Atalanta BC
Serie A (ITA),/juventus-turin/startseite/verein/506,Juventus FC
Serie A (ITA),/inter-mailand/startseite/verein/46,Inter Milan
Serie A (ITA),/lazio-rom/startseite/verein/398,SS Lazio
Serie A (ITA),/ssc-neapel/startseite/verein/6195,SSC Napoli
Eredivise (NET),/feyenoord-rotterdam/startseite/verein/234,Feyenoord Rotterdam
Eredivise (NET),/az-alkmaar/startseite/verein/1090,AZ Alkmaar
Eredivise (NET),/fc-utrecht/startseite/verein/200,FC Utrecht
Eredivise (NET),/vitesse-arnheim/startseite/verein/499,Vitesse Arnhem
Eredivise (NET),/fc-groningen/startseite/verein/202,FC Groningen
Eredivise (NET),/pec-zwolle/startseite/verein/1269,PEC Zwolle
Eredivise (NET),/heracles-almelo/startseite/verein/1304,Heracles Almelo
Eredivise (NET),/willem-ii-tilburg/startseite/verein/403,Willem II Tilburg
Eredivise (NET),/ado-den-haag/startseite/verein/1268,ADO Den Haag
Eredivise (NET),/fortuna-sittard/startseite/verein/385,Fortuna Sittard
Eredivise (NET),/vvv-venlo/startseite/verein/1426,VVV-Venlo
Eredivise (NET),/excelsior-rotterdam/startseite/verein/798,SBV Excelsior Rotterdam
Eredivise (NET),/nac-breda/startseite/verein/132,NAC Breda
Eredivise (NET),/fc-emmen/startseite/verein/1283,FC Emmen
Eredivise (NET),/de-graafschap-doetinchem/startseite/verein/642,De Graafschap Doetinchem
Eredivise (NET),/sc-heerenveen/startseite/verein/306,SC Heerenveen
Eredivise (NET),/psv-eindhoven/startseite/verein/383,PSV Eindhoven
Eredivise (NET),/ajax-amsterdam/startseite/verein/610,Ajax Amsterdam
Championship (ENG),/fc-middlesbrough/startseite/verein/641,Middlesbrough FC
Championship (ENG),/nottingham-forest/startseite/verein/703,Nottingham Forest
Championship (ENG),/derby-county/startseite/verein/22,Derby County
Championship (ENG),/leeds-united/startseite/verein/399,Leeds United
Championship (ENG),/swansea-city/startseite/verein/2288,Swansea City
Championship (ENG),/bristol-city/startseite/verein/698,Bristol City
Championship (ENG),/hull-city/startseite/verein/3008,Hull City
Championship (ENG),/sheffield-wednesday/startseite/verein/1035,Sheffield Wednesday
Championship (ENG),/fc-reading/startseite/verein/1032,Reading FC
Championship (ENG),/queens-park-rangers/startseite/verein/1039,Queens Park Rangers
Championship (ENG),/birmingham-city/startseite/verein/337,Birmingham City
Championship (ENG),/blackburn-rovers/startseite/verein/164,Blackburn Rovers
Championship (ENG),/wigan-athletic/startseite/verein/1071,Wigan Athletic
Championship (ENG),/preston-north-end/startseite/verein/466,Preston North End
Championship (ENG),/ipswich-town/startseite/verein/677,Ipswich Town
Championship (ENG),/bolton-wanderers/startseite/verein/355,Bolton Wanderers
Championship (ENG),/fc-millwall/startseite/verein/1028,Millwall FC
Championship (ENG),/rotherham-united/startseite/verein/1194,Rotherham United
Championship (ENG),/norwich-city/startseite/verein/1123,Norwich City
Championship (ENG),/fc-brentford/startseite/verein/1148,Brentford FC
Championship (ENG),/sheffield-united/startseite/verein/350,Sheffield United
Championship (ENG),/stoke-city/startseite/verein/512,Stoke City
Championship (ENG),/aston-villa/startseite/verein/405,Aston Villa
Championship (ENG),/west-bromwich-albion/startseite/verein/984,West Bromwich Albion
La Liga (SPA),/fc-valencia/startseite/verein/1049,Valencia CF
La Liga (SPA),/real-betis-sevilla/startseite/verein/150,Real Betis Balompié
La Liga (SPA),/real-sociedad-san-sebastian/startseite/verein/681,Real Sociedad
La Liga (SPA),/celta-vigo/startseite/verein/940,Celta de Vigo
La Liga (SPA),/athletic-bilbao/startseite/verein/621,Athletic Bilbao
La Liga (SPA),/fc-villarreal/startseite/verein/1050,Villarreal CF
La Liga (SPA),/espanyol-barcelona/startseite/verein/714,RCD Espanyol Barcelona
La Liga (SPA),/cd-leganes/startseite/verein/1244,CD Leganés
La Liga (SPA),/fc-getafe/startseite/verein/3709,Getafe CF
La Liga (SPA),/deportivo-alaves/startseite/verein/1108,Deportivo Alavés
La Liga (SPA),/ud-levante/startseite/verein/3368,Levante UD
La Liga (SPA),/sd-eibar/startseite/verein/1533,SD Eibar
La Liga (SPA),/rayo-vallecano/startseite/verein/367,Rayo Vallecano
La Liga (SPA),/real-valladolid/startseite/verein/366,Real Valladolid CF
La Liga (SPA),/sd-huesca/startseite/verein/5358,SD Huesca
La Liga (SPA),/real-madrid/startseite/verein/418,Real Madrid
La Liga (SPA),/fc-girona/startseite/verein/12321,Girona FC
La Liga (SPA),/fc-sevilla/startseite/verein/368,Sevilla FC
La Liga (SPA),/fc-barcelona/startseite/verein/131,FC Barcelona
La Liga (SPA),/atletico-madrid/startseite/verein/13,Atlético Madrid
Premier Liga (RUS),/spartak-moskau/startseite/verein/232,Spartak Moscow
Premier Liga (RUS),/terek-grozny/startseite/verein/3725,Akhmat Grozny
Premier Liga (RUS),/fk-rostov/startseite/verein/1083,FK Rostov
Premier Liga (RUS),/rubin-kazan/startseite/verein/2698,Rubin Kazan
Premier Liga (RUS),/dinamo-moskau/startseite/verein/121,Dinamo Moscow
Premier Liga (RUS),/arsenal-tula/startseite/verein/3729,Arsenal Tula
Premier Liga (RUS),/ural-sverdlovskaya-oblast/startseite/verein/11127,Ural Yekaterinburg
Premier Liga (RUS),/krylya-sovetov-samara/startseite/verein/2696,Krylya Sovetov Samara
Premier Liga (RUS),/gazovik-orenburg/startseite/verein/14589,FK Orenburg
Premier Liga (RUS),/enisey-krasnoyarsk/startseite/verein/3714,Enisey Krasnoyarsk
Premier Liga (RUS),/anzhi-makhachkala/startseite/verein/2700,Anzhi Makhachkala
Premier Liga (RUS),/fk-krasnodar/startseite/verein/16704,FK Krasnodar
Premier Liga (RUS),/fk-ufa/startseite/verein/28095,FK Ufa
Premier Liga (RUS),/zska-moskau/startseite/verein/2410,CSKA Moscow
Premier Liga (RUS),/zenit-st-petersburg/startseite/verein/964,Zenit St. Petersburg
Premier Liga (RUS),/lokomotiv-moskau/startseite/verein/932,Lokomotiv Moscow
Bundesliga (GER),/borussia-monchengladbach/startseite/verein/18,Borussia Mönchengladbach
Bundesliga (GER),/fc-schalke-04/startseite/verein/33,FC Schalke 04
Bundesliga (GER),/hertha-bsc/startseite/verein/44,Hertha BSC
Bundesliga (GER),/vfl-wolfsburg/startseite/verein/82,VfL Wolfsburg
Bundesliga (GER),/vfb-stuttgart/startseite/verein/79,VfB Stuttgart
Bundesliga (GER),/sv-werder-bremen/startseite/verein/86,SV Werder Bremen
Bundesliga (GER),/1-fsv-mainz-05/startseite/verein/39,1.FSV Mainz 05
Bundesliga (GER),/hannover-96/startseite/verein/42,Hannover 96
Bundesliga (GER),/fc-augsburg/startseite/verein/167,FC Augsburg
Bundesliga (GER),/sc-freiburg/startseite/verein/60,SC Freiburg
Bundesliga (GER),/fortuna-dusseldorf/startseite/verein/38,Fortuna Düsseldorf
Bundesliga (GER),/1-fc-nurnberg/startseite/verein/4,1.FC Nuremberg
Bundesliga (GER),/eintracht-frankfurt/startseite/verein/24,Eintracht Frankfurt
Bundesliga (GER),/tsg-1899-hoffenheim/startseite/verein/533,TSG 1899 Hoffenheim
Bundesliga (GER),/borussia-dortmund/startseite/verein/16,Borussia Dortmund
Bundesliga (GER),/fc-bayern-munchen/startseite/verein/27,Bayern Munich
Bundesliga (GER),/rasenballsport-leipzig/startseite/verein/23826,RB Leipzig
Bundesliga (GER),/bayer-04-leverkusen/startseite/verein/15,Bayer 04 Leverkusen
Ligue 1 (FRA),/as-monaco/startseite/verein/162,AS Monaco
Ligue 1 (FRA),/ogc-nizza/startseite/verein/417,OGC Nice
Ligue 1 (FRA),/fc-stade-rennes/startseite/verein/273,Stade Rennais FC
Ligue 1 (FRA),/fc-girondins-bordeaux/startseite/verein/40,FC Girondins Bordeaux
Ligue 1 (FRA),/as-saint-etienne/startseite/verein/618,AS Saint-Étienne
