age_group_Plus_35,age_group_31-34,league_Bundesliga 2 (GER),team_clas_Top 10,last_rating,league_Premier League (ENG),league_MLS (USA),league_Eredivise (NET),league_Super Lig (TUR),team_clas_Top 50,league_Primera División (ARG),team_clas_Top 100,previous_offsideswon,league_Liga NOS (POR),league_Ligue 1 (FRA),league_Serie A (ITA),age_group_27-30,league_Championship (ENG),team_clas_Top 150,league_La Liga (SPA),previous_shots,pos_def_Defensive Midfielder,pref_side_None,previous_offsidesdone,type_agent_No agent,league_Premier Liga (RUS),pos_def_Goalkeeper,previous_badcontrol,age_group_24-26,Top individuals ,league_Super League (CHI),last_wasdribbled,type_agent_Small,FIFA Club World Cup winner ,pref_side_Left,last_disposeseed,pos_def_Midfielder,last_red,Continental Club Winner,previous_interception,Continental Nat Winner,Olympic medalist ,League T1 Club Winner,previous_clearence,previous_aerial,last_interception,last_fouled,type_agent_Relatives,last_blocks,last_clearence,last_fouls,League T1 Runner-up,last_mom,type_agent_Medium,total_awards,last_dribbles,previous_red,sides,World Cup third place ,League T2 Club Winner,previous_dribbles,Major individuals ,Continental Club Runner-up,last_yellow,Minor individuals ,previous_mom,miss_days_per_y,last_goals,last_badcontrol,previous_passes,last_passes,previous_goals,previous_rating,previous_assist,previous_fouls,days_miss,last_assist,previous_yellow,weight,last_mins,tw_index,height,previous_mins,previous_tackles,nat_team_min_pond,nat_team_min,games_miss,highest_value,google_res
0,0,0,0,6.89,0,0,0,0,0,0,0,0.5799999999999998,0,0,0,0,0,1,1,0.30999999999999994,0,0,0.030000000000000006,1,0,0,0.37,1,0.0,0,0.5,0,0.0,0,0.2,0,0.0,0.0,2.1,0.0,0.0,0.0,3.22,1.78,1.4,0.8,0,1.4,5.8,1.1,0.0,0.0,0,0.0,0.4,3.0,2,0.0,0.0,0.33,0.0,0.0,4.0,0.0,1.0,8.222222222222221,2.0,0.6,81.39,76.6,2.0,6.747999999999998,2.0,0.94,74.0,0.0,9.0,80.0,1250.0,0.0,182.0,5911.0,1.7,0.0,0,10.0,5400000,177000.0
0,0,0,0,7.07,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,1,1.8500000000000003,0,0,0.030000000000000006,0,0,0,1.0799999999999998,0,0.0,0,2.2,1,0.0,0,2.1,1,2.0,0.0,0.5800000000000001,0.0,0.0,0.0,0.35,0.51,0.8,2.0,0,0.0,0.6,1.8,0.0,2.0,0,0.0,2.4,1.0,3,0.0,0.0,1.33,0.0,0.0,9.0,0.0,9.0,18.416666666666668,4.0,2.0,74.69,72.6,17.0,6.671000000000001,11.0,0.77,221.0,5.0,22.0,76.0,1782.0,0.0,182.0,8136.0,1.22,32.22222222222222,290,29.0,3150000,144000.0
0,0,0,0,6.74,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,2.35,0,0,0.05,1,0,0,1.8,0,0.0,0,1.6,0,0.0,0,1.5,1,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.1,0.25,0.9,1.3,0,0.1,0.9,1.7,0.0,0.0,0,1.0,1.1,0.0,2,0.0,0.0,1.05,1.0,0.0,6.0,0.0,1.0,1.0,3.0,1.9,83.19999999999997,76.3,11.0,7.17,1.0,1.25,7.0,4.0,9.0,67.0,2752.0,0.0,172.0,2075.0,1.9,19.63768115942029,1355,2.0,9000000,152000.0
0,0,1,0,6.63,0,0,0,0,0,0,0,0.05,0,0,0,1,0,0,0,1.3,0,1,0.25,0,0,0,1.6,0,0.0,0,0.4,0,0.0,0,0.9,0,0.0,0.0,0.4,0.0,0.0,0.0,0.65,2.55,0.2,1.3,0,0.0,1.0,1.5,0.0,0.0,1,3.0,0.2,0.0,1,0.0,3.0,0.2,0.0,0.0,8.0,0.0,1.0,0.25,4.0,1.6,67.55,59.0,10.0,6.635,4.0,1.6,3.0,1.0,8.0,82.0,1899.0,0.0,189.0,3129.0,0.5,0.0,0,0.0,630000,67900.0
1,0,1,0,6.55,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.55,0,0,0.0,0,0,0,0.8,0,0.0,0,1.5,1,0.0,0,0.1,0,1.0,0.0,1.7,0.0,0.0,0.0,2.25,4.9,1.6,1.4,0,0.5,2.9,1.5,0.0,0.0,0,2.0,0.1,1.0,2,0.0,2.0,0.5,0.0,0.0,4.0,0.0,1.0,10.7,1.0,0.4,68.6,74.6,0.0,6.71,0.0,2.05,214.0,0.0,15.0,74.0,1097.0,0.0,187.0,2258.0,1.35,0.0,0,24.0,540000,49200.0
0,0,1,0,6.52,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0.13333333333333333,0,0,0,0.8666666666666667,1,0.0,0,0.6,0,0.0,0,1.4,1,0.0,0.0,0.3,0.0,0.0,0.0,0.3666666666666665,1.9666666666666663,0.3,1.9,0,0.1,0.4,1.7,0.0,0.0,0,1.0,0.4,0.0,1,0.0,1.0,0.3333333333333333,0.0,0.0,3.0,0.0,2.0,20.444444444444443,1.0,2.1,68.2,72.7,11.0,6.413333333333332,3.0,1.3333333333333333,184.0,1.0,4.0,90.0,1142.0,0.0,192.0,2885.0,0.4,0.0,0,20.0,900000,37200.0
0,0,1,0,6.9,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0.0,0,1,0.0,0,0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.43333333333333335,0.0,0.1,0,0.0,0.8,0.0,0.0,3.0,0,0.0,0.2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.538461538461535,0.0,0.0,60.06666666666667,56.4,0.0,6.535,0.0,0.016666666666666666,163.0,0.0,7.0,82.0,1350.0,0.0,190.0,8705.0,0.03333333333333333,0.0,0,19.0,2250000,43100.0
0,0,1,0,6.73,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.6499999999999999,0,0,0.26666666666666666,0,0,0,0.7000000000000001,1,0.0,0,0.5,0,0.0,0,1.5,1,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.26666666666666666,1.55,0.2,1.8,0,0.1,0.9,1.7,0.0,0.0,1,6.0,0.4,0.0,2,0.0,6.0,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,32.333333333333336,4.0,1.5,66.63333333333334,73.8,2.0,6.496666666666666,6.0,0.7666666666666666,291.0,0.0,1.0,80.0,1111.0,0.0,187.0,2591.0,0.9166666666666666,11.5,575,35.0,1800000,70300.0
0,0,1,0,6.86,0,0,0,0,0,0,0,0.06000000000000001,0,0,0,0,0,0,0,0.32,1,1,0.02,0,0,0,0.38,1,0.0,0,0.8,0,0.0,0,0.3,0,1.0,0.0,1.16,0.0,0.0,0.0,0.98,2.8,2.0,1.7,0,0.6,2.8,1.4,0.0,0.0,1,0.0,0.0,1.0,1,0.0,0.0,0.08,0.0,0.0,9.0,0.0,2.0,8.25,2.0,0.5,51.46,74.8,2.0,6.472,1.0,1.2999999999999998,66.0,0.0,16.0,85.0,1847.0,0.0,192.0,3960.0,1.0,0.0,0,12.0,810000,39700.0
0,0,0,1,7.47,0,0,0,0,0,1,0,0.1,0,0,0,1,0,0,0,0.30000000000000004,1,1,0.0,0,0,0,0.8500000000000001,0,0.0,0,2.0,1,0.0,0,0.4,0,0.0,0.0,2.15,0.0,0.0,0.0,0.8500000000000001,0.5,2.0,2.0,0,0.3,1.9,1.7,0.0,1.0,0,3.0,1.8,1.0,1,0.0,3.0,0.8999999999999999,0.0,0.0,5.0,0.0,2.0,15.25,0.0,1.4,88.25,90.8,0.0,7.025,0.0,1.0,183.0,0.0,15.0,79.0,990.0,0.0,184.0,3762.0,3.45,0.0,0,26.0,6750000,183000.0
0,0,0,1,6.45,0,0,0,0,0,1,0,0.05,0,0,0,1,0,0,0,3.1,0,1,0.55,0,0,0,2.65,0,0.0,0,0.3,1,0.0,0,1.3,0,0.0,2.0,0.05,0.0,0.0,0.0,0.6499999999999999,1.1,0.1,0.9,0,0.1,0.5,0.5,0.0,0.0,0,6.0,0.4,0.0,1,0.0,3.0,0.8999999999999999,1.0,0.0,4.0,0.0,9.0,24.0,2.0,2.4,74.05000000000003,69.8,30.0,7.58,6.0,1.15,288.0,1.0,7.0,75.0,872.0,0.0,175.0,2617.0,0.25,23.363636363636363,257,31.0,13500000,679000.0
0,0,0,1,6.7,0,0,0,0,0,1,0,0.02,0,0,0,1,0,0,0,1.7,0,1,1.28,0,0,0,2.3,0,0.0,0,0.1,0,0.0,0,0.9,0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.5,0.4800000000000001,0.0,0.8,1,0.0,0.5,0.5,0.0,0.0,0,2.0,0.3,0.0,1,0.0,1.0,0.46,1.0,0.0,2.0,0.0,7.0,2.6153846153846154,6.0,1.6,65.42,66.1,31.0,6.757999999999999,8.0,0.5,34.0,5.0,14.0,84.0,800.0,0.0,175.0,4451.0,0.12,0.0,0,7.0,5400000,163000.0
